busbar_name,type [R or K],busbar_kilometering [km],current [kA]
84-013.204-K-1-BR1-BR2-24-BB,K,13.204,-1738.645165136752
84-013.204-K-2-L3-L2-23-BB,K,13.204,-1738.645165124414
84-014.298-K-1-BR2-BR3-26-BB,K,14.298,-1738.6451578666672
84-014.298-K-2-L1-L2-25-BB,K,14.298,-1738.6451578689546
84-015.974-K-1-BR3-82-BB,K,15.974,-1738.6451472587635
84-015.974-K-1-GR1-82-BB,K,15.974,-1738.6451469946521
84-015.974-K-2-L1-81-BB,K,15.974,-1738.6451472834565
84-015.974-K-2-V2-81-BB,K,15.974,-1738.645146970569
85-001.608-K-1-GR2-T1-83,K,1.608,-1738.5733331481156
85-001.644-K-2-V1-BR5,K,1.644,-1738.5373083441377
85-001.644-K-2-V1-V1,K,1.644,-1738.5372877079944
85-001.648-K-1-GR2-GR2,K,1.648,-1738.523969362355
85-002.330-K-2-V2-V1-32,K,2.33,-1738.5231315319725
85-002.440-K-1-GR1-GR2-31,K,2.44,-1738.5239698630544
85-002.565-K-2-new_busbar,K,2.565,-1738.5201187475548
85-002.711-K-2-V3-V2-34,K,2.711,-1738.5203851158385
85-005.768-K-1-GR1-BR2,K,5.768,-1738.523973094199
85-005.768-K-2-V3-L1-82,K,5.768,-1738.5239282456444
85-005.802-K-1-GR1-GR1,K,5.802,-1738.5239730512099
85-005.802-K-2-V3-V3,K,5.802,-1738.5238896857609
81-003.455-K-4-B3-B1-21,K,3.455,-1738.6452039529913
81-003.708-K-5-R1-R2-22-BB,K,3.708,-1738.645203959607
81-003.730-K-3-B1-B2-BB,K,3.73,-1738.6452039996504
81-004.089-K-3-B1-B1-72-BB,K,4.089,-1738.6452040677423
81-004.089-K-5-R2-R2-72-BB,K,4.089,-1738.6452040318716
81-004.107-K-5-R2-R2-BB,K,4.107,-1738.6452040387
81-004.118-K-3-B2-B2-71-BB,K,4.118,-1738.645204078743
81-004.118-K-4-B1-B1-71-BB,K,4.118,-1738.645204078743
83-004.374-K-2-B1-B1-Fødekobler,K,4.374,-1738.6452043219633
83-004.380-K-2-R2-R2-Fødekobler,K,4.38,-1738.6452042976057
83-004.477-K-2-B1-O1-83-BB,K,4.477,-1738.6452064015884
83-004.613-K-1-O1-O1-Fødekobler,K,4.613,-1738.6452064445805
83-004.613-K-2-R2-T1-84-Fødekobler,K,4.613,-1738.6452044328366
85-010.063-K-1-R1-R1,K,10.063,-1738.527259532056
85-010.063-K-2-B1-B1,K,10.063,-1738.5272624343363
85-013.328-K-2-B1-O4-81-Fødekobler,K,13.328,-1738.5302355164138
85-013.374-K-1-R1-T1-82-Fødekobler,K,13.374,-1738.5302537753546
82-023.103-K-2-L4-L3-31-BB,K,23.103,-1738.7859725176588
82-023.711-K-3-L2-L2-91-BB,K,23.711,-1738.7921807963864
82-023.711-K-3-L2-L2-BB,K,23.711,-1738.7921807960702
82-023.997-K-1-BR1-BR1-92-BB,K,23.997,-1738.7916608959242
82-023.997-K-2-L31-L3-91-BB,K,23.997,-1738.7921809270235
82-024.150-K-1-BR1-BR2-32-BB,K,24.15,-1738.792694392393
82-026.525-K-1-BR2-BR2-82-BB,K,26.525,-1738.8097715267384
82-026.525-K-1-BR2-GR1-82-BB,K,26.525,-1738.80989525434
82-026.525-K-2-L1-V2-81-BB,K,26.525,-1738.8098952363075
82-026.525-K-2-L3-L3-81-BB,K,26.525,-1738.8097390960975
81-007.900-K-3-GR2-GR2-Fødekobler,K,7.9,-1738.6452003341649
81-007.900-K-4-V1-V1-Fødekobler,K,7.9,0.0
81-010.862-K-3-GR2-GR1-21-BB,K,10.862,-1738.6451992105578
81-010.922-K-4-V1-V2-22-BB,K,10.922,0.0
81-011.000-K-34-V3-V3-22-BB,K,11.0,0.0
81-011.647-K-34-V3-V3-71/72-BB,K,11.647,0.0
81-011.647-K-4-GR1-GR1-71-BB,K,11.647,0.0
81-011.647-K-4-V2-V3-72-BB,K,11.647,0.0
81-011.748-K-3-GR1-GR1-Fødekobler,K,11.748,0.0
81-011.748-K-4-V2-V2-Fødekobler,K,11.748,0.0
81-011.900-K-34-V3-V32-BB,K,11.9,0.0
84-011.748-K-81-V2-L1-BB,K,11.748,0.0
83-039.422-K-2-B4-B4-Fødekobler,K,39.422,0.0
