id,km,BTR,spor
47725,18.93,85,Nordgående
47719,18.913,85,Nordgående
47713,18.896,85,Nordgående
47707,18.88,85,Nordgående
47701,18.864,85,Nordgående
47695,18.849,85,Nordgående
47689,18.834,85,Nordgående
47683,18.819,85,Nordgående
47677,18.805,85,Nordgående
47671,18.791,85,Nordgående
47665,18.777,85,Nordgående
47659,18.764,85,Nordgående
47653,18.751,85,Nordgående
47647,18.739,85,Nordgående
47641,18.727,85,Nordgående
47635,18.715,85,Nordgående
47629,18.704,85,Nordgående
47623,18.693,85,Nordgående
47617,18.682,85,Nordgående
47611,18.672,85,Nordgående
47605,18.662,85,Nordgående
47599,18.652,85,Nordgående
47593,18.642,85,Nordgående
47587,18.632,85,Nordgående
47581,18.622,85,Nordgående
47575,18.613,85,Nordgående
47569,18.604,85,Nordgående
47563,18.595,85,Nordgående
47557,18.586,85,Nordgående
47551,18.577,85,Nordgående
47545,18.568,85,Nordgående
47539,18.559,85,Nordgående
47533,18.55,85,Nordgående
47527,18.54,85,Nordgående
47521,18.529,85,Nordgående
47515,18.517,85,Nordgående
47509,18.504,85,Nordgående
47503,18.49,85,Nordgående
47497,18.475,85,Nordgående
47491,18.459,85,Nordgående
47485,18.442,85,Nordgående
47479,18.425,85,Nordgående
47473,18.407,85,Nordgående
47467,18.388,85,Nordgående
47461,18.369,85,Nordgående
47455,18.35,85,Nordgående
47449,18.331,85,Nordgående
47443,18.312,85,Nordgående
47437,18.293,85,Nordgående
47431,18.274,85,Nordgående
47425,18.255,85,Nordgående
47419,18.236,85,Nordgående
47413,18.217,85,Nordgående
47407,18.198,85,Nordgående
47401,18.179,85,Nordgående
47395,18.16,85,Nordgående
47389,18.141,85,Nordgående
47383,18.122,85,Nordgående
47377,18.103,85,Nordgående
47371,18.084,85,Nordgående
47365,18.065,85,Nordgående
47359,18.046,85,Nordgående
47353,18.027,85,Nordgående
47347,18.009,85,Nordgående
47341,17.991,85,Nordgående
47335,17.973,85,Nordgående
47329,17.955,85,Nordgående
47323,17.937,85,Nordgående
47317,17.919,85,Nordgående
47311,17.901,85,Nordgående
47305,17.883,85,Nordgående
47299,17.864,85,Nordgående
47293,17.845,85,Nordgående
47287,17.826,85,Nordgående
47281,17.807,85,Nordgående
47275,17.788,85,Nordgående
47269,17.769,85,Nordgående
47263,17.75,85,Nordgående
47257,17.731,85,Nordgående
47251,17.712,85,Nordgående
47245,17.693,85,Nordgående
47239,17.674,85,Nordgående
47233,17.655,85,Nordgående
47227,17.636,85,Nordgående
47221,17.617,85,Nordgående
47215,17.598,85,Nordgående
47209,17.579,85,Nordgående
47203,17.561,85,Nordgående
47197,17.543,85,Nordgående
47191,17.525,85,Nordgående
47185,17.507,85,Nordgående
47179,17.489,85,Nordgående
47173,17.471,85,Nordgående
47167,17.453,85,Nordgående
47161,17.435,85,Nordgående
47155,17.416,85,Nordgående
47149,17.397,85,Nordgående
47143,17.378,85,Nordgående
47137,17.359,85,Nordgående
47131,17.34,85,Nordgående
47125,17.321,85,Nordgående
47119,17.302,85,Nordgående
47113,17.283,85,Nordgående
47107,17.264,85,Nordgående
47101,17.245,85,Nordgående
47095,17.226,85,Nordgående
47089,17.207,85,Nordgående
47083,17.188,85,Nordgående
47077,17.169,85,Nordgående
47071,17.15,85,Nordgående
47065,17.131,85,Nordgående
47059,17.112,85,Nordgående
47053,17.093,85,Nordgående
47047,17.075,85,Nordgående
47041,17.057,85,Nordgående
47035,17.04,85,Nordgående
47029,17.024,85,Nordgående
47023,17.008,85,Nordgående
47017,16.993,85,Nordgående
47011,16.979,85,Nordgående
47005,16.965,85,Nordgående
46999,16.952,85,Nordgående
46993,16.94,85,Nordgående
46987,16.929,85,Nordgående
46981,16.92,85,Nordgående
46975,16.912,85,Nordgående
46969,16.905,85,Nordgående
46963,16.899,85,Nordgående
46957,16.893,85,Nordgående
46951,16.888,85,Nordgående
46945,16.884,85,Nordgående
46939,16.881,85,Nordgående
46933,16.879,85,Nordgående
46753,16.878,85,Nordgående
46747,16.877,85,Nordgående
46741,16.876,85,Nordgående
46735,16.874,85,Nordgående
46729,16.87,85,Nordgående
46723,16.865,85,Nordgående
46717,16.859,85,Nordgående
46711,16.851,85,Nordgående
46705,16.842,85,Nordgående
46699,16.831,85,Nordgående
46693,16.819,85,Nordgående
46687,16.806,85,Nordgående
46681,16.792,85,Nordgående
46675,16.777,85,Nordgående
46669,16.761,85,Nordgående
46663,16.745,85,Nordgående
46657,16.728,85,Nordgående
46651,16.71,85,Nordgående
46645,16.691,85,Nordgående
46639,16.672,85,Nordgående
46633,16.652,85,Nordgående
46627,16.631,85,Nordgående
46621,16.61,85,Nordgående
46615,16.588,85,Nordgående
46609,16.566,85,Nordgående
46603,16.543,85,Nordgående
