id;tog;tid;BTR;km;spor;watt [kW]
1;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:20:31;82;36;sydgaaende;45
2;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:20:32;82;36;sydgaaende;44
3;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:20:33;82;36;sydgaaende;43
4;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:20:34;82;36;sydgaaende;43
5;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:20:35;82;36;sydgaaende;45
6;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:20:36;82;36;sydgaaende;43
7;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:20:37;82;36;sydgaaende;43
8;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:20:38;82;36;sydgaaende;45
9;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:20:39;82;36;sydgaaende;45
10;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:20:40;82;36;sydgaaende;43
11;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:20:41;82;36;sydgaaende;45
12;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:20:42;82;36;sydgaaende;45
13;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:20:43;82;36;sydgaaende;45
14;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:20:44;82;36;sydgaaende;36
15;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:20:45;82;36;sydgaaende;38
16;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:20:46;82;36;sydgaaende;38
17;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:20:47;82;36;sydgaaende;38
18;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:20:48;82;36;sydgaaende;40
19;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:20:49;82;36;sydgaaende;40
20;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:20:50;82;36;sydgaaende;40
21;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:20:51;82;36;sydgaaende;32
22;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:20:52;82;36;sydgaaende;31
23;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:20:53;82;36;sydgaaende;31
24;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:20:54;82;36;sydgaaende;28
25;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:20:55;82;36;sydgaaende;12
26;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:20:56;82;36;sydgaaende;12
27;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:20:57;82;36;sydgaaende;12
28;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:20:58;82;36;sydgaaende;14
29;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:20:59;82;36;sydgaaende;12
30;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:00;82;36;sydgaaende;12
31;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:01;82;36;sydgaaende;12
32;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:02;82;36;sydgaaende;12
33;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:03;82;36;sydgaaende;12
34;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:04;82;36;sydgaaende;14
35;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:05;82;36;sydgaaende;12
36;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:06;82;36;sydgaaende;12
37;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:07;82;36;sydgaaende;12
38;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:08;82;36;sydgaaende;12
39;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:09;82;36;sydgaaende;12
40;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:10;82;36;sydgaaende;12
41;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:11;82;36;sydgaaende;12
42;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:12;82;36;sydgaaende;14
43;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:13;82;36;sydgaaende;29
44;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:14;82;36;sydgaaende;129
45;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:15;82;36;sydgaaende;121
46;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:16;82;36;sydgaaende;107
47;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:17;82;36;sydgaaende;107
48;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:18;82;36;sydgaaende;107
49;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:19;82;36;sydgaaende;106
50;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:20;82;36;sydgaaende;106
51;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:21;82;36;sydgaaende;106
52;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:22;82;36;sydgaaende;104
53;1Tognummer 612231, Hilleroed-Hundige, SA-8204;12:21:23;82;36;sydgaaende;104
