busbar_name,type [R or K],busbar_kilometering [km],voltage [V],timestamp [HH:MM:SS]
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1736.8133700639657,12:00:00
81-000.000-K-3-T5-T5-BB,K,0.0,-1737.2568165585335,12:00:01
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1737.3101660914965,12:00:01
81-000.000-K-3-T5-T5-BB,K,0.0,-1737.0280513176715,12:00:02
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1737.0911772431186,12:00:02
81-000.000-K-3-T5-T5-BB,K,0.0,-1737.032655437441,12:00:03
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1737.0960369368731,12:00:03
81-000.000-K-3-T5-T5-BB,K,0.0,-1736.9599055529484,12:00:04
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1737.0249976478003,12:00:04
81-000.000-K-3-T5-T5-BB,K,0.0,-1736.9756874792902,12:00:05
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1737.0364345513644,12:00:05
81-000.000-K-3-T5-T5-BB,K,0.0,-1736.9111720241679,12:00:06
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1736.972977873179,12:00:06
81-000.000-K-3-T5-T5-BB,K,0.0,-1736.9652893188584,12:00:07
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1737.0121161475683,12:00:07
81-000.000-K-3-T5-T5-BB,K,0.0,-1736.7395750456787,12:00:08
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1736.7879553730809,12:00:08
81-000.000-K-3-T5-T5-BB,K,0.0,-1736.4816167583604,12:00:09
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1736.5343741228332,12:00:09
81-000.050-K-4-BR1-L1-83Fødekobler,K,0.05,-1736.8123762690175,12:00:00
81-000.050-K-4-BR1-L1-83Fødekobler,K,0.05,-1737.3074721466392,12:00:01
81-000.050-K-4-BR1-L1-83Fødekobler,K,0.05,-1737.087748266401,12:00:02
81-000.050-K-4-BR1-L1-83Fødekobler,K,0.05,-1737.0924717597466,12:00:03
81-000.050-K-4-BR1-L1-83Fødekobler,K,0.05,-1737.0215123992991,12:00:04
81-000.050-K-4-BR1-L1-83Fødekobler,K,0.05,-1737.0327486156823,12:00:05
81-000.050-K-4-BR1-L1-83Fødekobler,K,0.05,-1736.9691882668915,12:00:06
81-000.050-K-4-BR1-L1-83Fødekobler,K,0.05,-1737.0093799120857,12:00:07
81-000.050-K-4-BR1-L1-83Fødekobler,K,0.05,-1736.7849250383908,12:00:08
81-000.050-K-4-BR1-L1-83Fødekobler,K,0.05,-1736.5305530117487,12:00:09
81-000.090-K-3-T5-O3-84-BB,K,0.09,-1736.8065999127277,12:00:00
81-000.090-K-3-T5-O3-84-BB,K,0.09,-1737.3040029433432,12:00:01
81-000.090-K-3-T5-O3-84-BB,K,0.09,-1737.0836742415263,12:00:02
81-000.090-K-3-T5-O3-84-BB,K,0.09,-1737.0883929387965,12:00:03
81-000.090-K-3-T5-O3-84-BB,K,0.09,-1737.0173070015592,12:00:04
81-000.090-K-3-T5-O3-84-BB,K,0.09,-1737.0288644081252,12:00:05
81-000.090-K-3-T5-O3-84-BB,K,0.09,-1736.9652402818706,12:00:06
81-000.090-K-3-T5-O3-84-BB,K,0.09,-1737.006373063229,12:00:07
81-000.090-K-3-T5-O3-84-BB,K,0.09,-1736.7818325609421,12:00:08
81-000.090-K-3-T5-O3-84-BB,K,0.09,-1736.5272369087756,12:00:09
81-000.093-K-10-T5-T4-32-BB,K,0.093,-1736.7290684956122,12:00:00
81-000.093-K-11-BR2-BR1-31-BB,K,0.093,-1736.806297235114,12:00:00
81-000.093-K-10-T5-T4-32-BB,K,0.093,-1737.25681664666,12:00:01
81-000.093-K-11-BR2-BR1-31-BB,K,0.093,-1737.3062233266412,12:00:01
81-000.093-K-10-T5-T4-32-BB,K,0.093,-1737.0280514057854,12:00:02
81-000.093-K-11-BR2-BR1-31-BB,K,0.093,-1737.0863430701622,12:00:02
81-000.093-K-10-T5-T4-32-BB,K,0.093,-1737.032655525555,12:00:03
81-000.093-K-11-BR2-BR1-31-BB,K,0.093,-1737.091187910479,12:00:03
81-000.093-K-10-T5-T4-32-BB,K,0.093,-1736.9599056410593,12:00:04
81-000.093-K-11-BR2-BR1-31-BB,K,0.093,-1737.0199762206632,12:00:04
81-000.093-K-10-T5-T4-32-BB,K,0.093,-1736.9756875674016,12:00:05
81-000.093-K-11-BR2-BR1-31-BB,K,0.093,-1737.0318508006596,12:00:05
81-000.093-K-10-T5-T4-32-BB,K,0.093,-1736.9111721122772,12:00:06
81-000.093-K-11-BR2-BR1-31-BB,K,0.093,-1736.9682986740725,12:00:06
81-000.093-K-10-T5-T4-32-BB,K,0.093,-1736.9652894069693,12:00:07
81-000.093-K-11-BR2-BR1-31-BB,K,0.093,-1737.0088174079463,12:00:07
81-000.093-K-10-T5-T4-32-BB,K,0.093,-1736.7395751337788,12:00:08
81-000.093-K-11-BR2-BR1-31-BB,K,0.093,-1736.7845202486142,12:00:08
81-000.093-K-10-T5-T4-32-BB,K,0.093,-1736.4816168464463,12:00:09
81-000.093-K-11-BR2-BR1-31-BB,K,0.093,-1736.5305778456375,12:00:09
81-000.234-K-3-T5-GR1-82-Fødekobler,K,0.234,-1736.7290682745108,12:00:00
81-000.234-K-3-T5-GR1-82-Fødekobler,K,0.234,-1737.2568164254915,12:00:01
81-000.234-K-3-T5-GR1-82-Fødekobler,K,0.234,-1737.0280511846472,12:00:02
81-000.234-K-3-T5-GR1-82-Fødekobler,K,0.234,-1737.032655304417,12:00:03
81-000.234-K-3-T5-GR1-82-Fødekobler,K,0.234,-1736.9599054199293,12:00:04
81-000.234-K-3-T5-GR1-82-Fødekobler,K,0.234,-1736.975687346269,12:00:05
81-000.234-K-3-T5-GR1-82-Fødekobler,K,0.234,-1736.911171891151,12:00:06
81-000.234-K-3-T5-GR1-82-Fødekobler,K,0.234,-1736.9652891858382,12:00:07
81-000.234-K-3-T5-GR1-82-Fødekobler,K,0.234,-1736.7395749126756,12:00:08
81-000.234-K-3-T5-GR1-82-Fødekobler,K,0.234,-1736.4816166253777,12:00:09
81-000.291-K-4-L1-L2-36-BB,K,0.291,-1736.7942399795595,12:00:00
81-000.291-K-4-L1-L2-36-BB,K,0.291,-1737.2957371690322,12:00:01
81-000.291-K-4-L1-L2-36-BB,K,0.291,-1737.0741443814609,12:00:02
81-000.291-K-4-L1-L2-36-BB,K,0.291,-1737.0788341630928,12:00:03
81-000.291-K-4-L1-L2-36-BB,K,0.291,-1737.0075239632088,12:00:04
81-000.291-K-4-L1-L2-36-BB,K,0.291,-1737.019651333339,12:00:05
81-000.291-K-4-L1-L2-36-BB,K,0.291,-1736.9558932401546,12:00:06
81-000.291-K-4-L1-L2-36-BB,K,0.291,-1736.9989362237488,12:00:07
81-000.291-K-4-L1-L2-36-BB,K,0.291,-1736.7742249926296,12:00:08
81-000.291-K-4-L1-L2-36-BB,K,0.291,-1736.519065528834,12:00:09
81-000.320-K-10-T4-T4-BB,K,0.32,-1736.7290687536595,12:00:00
81-000.320-K-10-T4-T4-BB,K,0.32,-1737.2568169047843,12:00:01
81-000.320-K-10-T4-T4-BB,K,0.32,-1737.0280516638752,12:00:02
81-000.320-K-10-T4-T4-BB,K,0.32,-1737.032655783645,12:00:03
81-000.320-K-10-T4-T4-BB,K,0.32,-1736.9599058991391,12:00:04
81-000.320-K-10-T4-T4-BB,K,0.32,-1736.9756878254843,12:00:05
81-000.320-K-10-T4-T4-BB,K,0.32,-1736.9111723703525,12:00:06
81-000.320-K-10-T4-T4-BB,K,0.32,-1736.9652896650502,12:00:07
81-000.320-K-10-T4-T4-BB,K,0.32,-1736.7395753918286,12:00:08
81-000.320-K-10-T4-T4-BB,K,0.32,-1736.481617104455,12:00:09
81-000.373-K-4-GR1-GR1-81-Fødekobler,K,0.373,-1736.7290682218409,12:00:00
81-000.373-K-4-GR1-GR1-81-Fødekobler,K,0.373,-1737.2568163728054,12:00:01
81-000.373-K-4-GR1-GR1-81-Fødekobler,K,0.373,-1737.0280511319677,12:00:02
81-000.373-K-4-GR1-GR1-81-Fødekobler,K,0.373,-1737.0326552517374,12:00:03
81-000.373-K-4-GR1-GR1-81-Fødekobler,K,0.373,-1736.9599053672523,12:00:04
81-000.373-K-4-GR1-GR1-81-Fødekobler,K,0.373,-1736.9756872935911,12:00:05
81-000.373-K-4-GR1-GR1-81-Fødekobler,K,0.373,-1736.911171838474,12:00:06
81-000.373-K-4-GR1-GR1-81-Fødekobler,K,0.373,-1736.965289133161,12:00:07
81-000.373-K-4-GR1-GR1-81-Fødekobler,K,0.373,-1736.7395748600045,12:00:08
81-000.373-K-4-GR1-GR1-81-Fødekobler,K,0.373,-1736.481616572715,12:00:09
81-000.374-K-4-BR1-V3-81-Fødekobler,K,0.374,-1736.8417375725692,12:00:00
81-000.374-K-4-BR1-V3-81-Fødekobler,K,0.374,-1737.3259796875827,12:00:01
81-000.374-K-4-BR1-V3-81-Fødekobler,K,0.374,-1737.1105660566157,12:00:02
81-000.374-K-4-BR1-V3-81-Fødekobler,K,0.374,-1737.115485323836,12:00:03
81-000.374-K-4-BR1-V3-81-Fødekobler,K,0.374,-1737.0451374915037,12:00:04
81-000.374-K-4-BR1-V3-81-Fødekobler,K,0.374,-1737.0548189831397,12:00:05
81-000.374-K-4-BR1-V3-81-Fødekobler,K,0.374,-1736.9917451248812,12:00:06
81-000.374-K-4-BR1-V3-81-Fødekobler,K,0.374,-1737.0253467177047,12:00:07
81-000.374-K-4-BR1-V3-81-Fødekobler,K,0.374,-1736.8017329490785,12:00:08
81-000.374-K-4-BR1-V3-81-Fødekobler,K,0.374,-1736.5496001930858,12:00:09
81-000.416-K-10-T4-T3-37-BB1,K,0.416,-1736.7260943798044,12:00:00
81-000.416-K-10-T4-T3-37-BB2,K,0.416,-1736.7257214378901,12:00:00
81-000.416-K-10-T4-T3-37-BB1,K,0.416,-1737.2555880902023,12:00:01
81-000.416-K-10-T4-T3-37-BB2,K,0.416,-1737.2554340166048,12:00:01
81-000.416-K-10-T4-T3-37-BB1,K,0.416,-1737.0263914031043,12:00:02
81-000.416-K-10-T4-T3-37-BB2,K,0.416,-1737.0261832322883,12:00:02
81-000.416-K-10-T4-T3-37-BB1,K,0.416,-1737.0309946834122,12:00:03
81-000.416-K-10-T4-T3-37-BB2,K,0.416,-1737.0307864073395,12:00:03
81-000.416-K-10-T4-T3-37-BB1,K,0.416,-1736.9581490676312,12:00:04
81-000.416-K-10-T4-T3-37-BB2,K,0.416,-1736.9579287882177,12:00:04
81-000.416-K-10-T4-T3-37-BB1,K,0.416,-1736.974173870269,12:00:05
81-000.416-K-10-T4-T3-37-BB2,K,0.416,-1736.9739840440898,12:00:05
81-000.416-K-10-T4-T3-37-BB1,K,0.416,-1736.909613063703,12:00:06
81-000.416-K-10-T4-T3-37-BB2,K,0.416,-1736.9094175510988,12:00:06
81-000.416-K-10-T4-T3-37-BB1,K,0.416,-1736.9644091362466,12:00:07
81-000.416-K-10-T4-T3-37-BB2,K,0.416,-1736.9642987327343,12:00:07
81-000.416-K-10-T4-T3-37-BB1,K,0.416,-1736.7386331214498,12:00:08
81-000.416-K-10-T4-T3-37-BB2,K,0.416,-1736.7385149764214,12:00:08
81-000.416-K-10-T4-T3-37-BB1,K,0.416,-1736.480528351127,12:00:09
81-000.416-K-10-T4-T3-37-BB2,K,0.416,-1736.480391839218,12:00:09
81-000.529-K-105-BR3-BR3-92-BB,K,0.529,-1736.768727683473,12:00:00
81-000.529-K-114-R6-R6-92-BB,K,0.529,-1736.7087136651708,12:00:00
81-000.529-K-114-T3-T3-91-BB,K,0.529,-1736.7222203951144,12:00:00
81-000.529-K-115-R6-R6-BB,K,0.529,-1736.7087137443636,12:00:00
81-000.529-K-105-BR3-BR3-92-BB,K,0.529,-1737.285280136785,12:00:01
81-000.529-K-114-R6-R6-92-BB,K,0.529,-1737.2484076505477,12:00:01
81-000.529-K-114-T3-T3-91-BB,K,0.529,-1737.253987642394,12:00:01
81-000.529-K-115-R6-R6-BB,K,0.529,-1737.2484077297588,12:00:01
81-000.529-K-105-BR3-BR3-92-BB,K,0.529,-1737.0606648737344,12:00:02
81-000.529-K-114-R6-R6-92-BB,K,0.529,-1737.016689783046,12:00:02
81-000.529-K-114-T3-T3-91-BB,K,0.529,-1737.0242290099934,12:00:02
81-000.529-K-115-R6-R6-BB,K,0.529,-1737.0166898622572,12:00:02
81-000.529-K-105-BR3-BR3-92-BB,K,0.529,-1737.0654308151422,12:00:03
81-000.529-K-114-R6-R6-92-BB,K,0.529,-1737.0212881579243,12:00:03
81-000.529-K-114-T3-T3-91-BB,K,0.529,-1737.0288311969314,12:00:03
81-000.529-K-115-R6-R6-BB,K,0.529,-1737.021288237137,12:00:03
81-000.529-K-105-BR3-BR3-92-BB,K,0.529,-1736.9933033622192,12:00:04
81-000.529-K-114-R6-R6-92-BB,K,0.529,-1736.9478831309884,12:00:04
81-000.529-K-114-T3-T3-91-BB,K,0.529,-1736.9558608941297,12:00:04
81-000.529-K-115-R6-R6-BB,K,0.529,-1736.947883210195,12:00:04
81-000.529-K-105-BR3-BR3-92-BB,K,0.529,-1737.007502804169,12:00:05
81-000.529-K-114-R6-R6-92-BB,K,0.529,-1736.9653271950488,12:00:05
81-000.529-K-114-T3-T3-91-BB,K,0.529,-1736.972202035614,12:00:05
81-000.529-K-115-R6-R6-BB,K,0.529,-1736.9653272742664,12:00:05
81-000.529-K-105-BR3-BR3-92-BB,K,0.529,-1736.943443672081,12:00:06
81-000.529-K-114-R6-R6-92-BB,K,0.529,-1736.9005013748097,12:00:06
81-000.529-K-114-T3-T3-91-BB,K,0.529,-1736.9075821602098,12:00:06
81-000.529-K-115-R6-R6-BB,K,0.529,-1736.900501454011,12:00:06
81-000.529-K-105-BR3-BR3-92-BB,K,0.529,-1736.9912951693768,12:00:07
81-000.529-K-114-R6-R6-92-BB,K,0.529,-1736.959263924332,12:00:07
81-000.529-K-114-T3-T3-91-BB,K,0.529,-1736.9632623198706,12:00:07
81-000.529-K-115-R6-R6-BB,K,0.529,-1736.9592640035346,12:00:07
81-000.529-K-105-BR3-BR3-92-BB,K,0.529,-1736.766273557185,12:00:08
81-000.529-K-114-R6-R6-92-BB,K,0.529,-1736.7331271190897,12:00:08
81-000.529-K-114-T3-T3-91-BB,K,0.529,-1736.737405888576,12:00:08
81-000.529-K-115-R6-R6-BB,K,0.529,-1736.7331271982803,12:00:08
81-000.529-K-105-BR3-BR3-92-BB,K,0.529,-1736.510412772999,12:00:09
81-000.529-K-114-R6-R6-92-BB,K,0.529,-1736.4741663672737,12:00:09
81-000.529-K-114-T3-T3-91-BB,K,0.529,-1736.4791103287407,12:00:09
81-000.529-K-115-R6-R6-BB,K,0.529,-1736.47416644645,12:00:09
81-000.558-K-3-BR3-BR2-34-BB,K,0.558,-1736.7709331783005,12:00:00
81-000.558-K-3-O2-O1-21-BB,K,0.558,-1736.7448075706382,12:00:00
81-000.558-K-3-O3-O2-35-BB,K,0.558,-1736.7448730607866,12:00:00
81-000.558-K-3-R6-R6-91-BB,K,0.558,-1736.7207659393234,12:00:00
81-000.558-K-3-BR3-BR2-34-BB,K,0.558,-1737.286509590128,12:00:01
81-000.558-K-3-O2-O1-21-BB,K,0.558,-1737.2649180260191,12:00:01
81-000.558-K-3-O3-O2-35-BB,K,0.558,-1737.2649671906634,12:00:01
81-000.558-K-3-R6-R6-91-BB,K,0.558,-1737.2533867731108,12:00:01
81-000.558-K-3-BR3-BR2-34-BB,K,0.558,-1737.0621722930514,12:00:02
81-000.558-K-3-O2-O1-21-BB,K,0.558,-1737.0381911456861,12:00:02
81-000.558-K-3-O3-O2-35-BB,K,0.558,-1737.0382453849475,12:00:02
81-000.558-K-3-R6-R6-91-BB,K,0.558,-1737.0234171615377,12:00:02
81-000.558-K-3-BR3-BR2-34-BB,K,0.558,-1737.0669428661763,12:00:03
81-000.558-K-3-O2-O1-21-BB,K,0.558,-1737.042815005061,12:00:03
81-000.558-K-3-O3-O2-35-BB,K,0.558,-1737.0428693632737,12:00:03
81-000.558-K-3-R6-R6-91-BB,K,0.558,-1737.0280189379764,12:00:03
81-000.558-K-3-BR3-BR2-34-BB,K,0.558,-1736.9948691726265,12:00:04
81-000.558-K-3-O2-O1-21-BB,K,0.558,-1736.9704841027626,12:00:04
81-000.558-K-3-O3-O2-35-BB,K,0.558,-1736.9705393550607,12:00:04
81-000.558-K-3-R6-R6-91-BB,K,0.558,-1736.955001822141,12:00:04
81-000.558-K-3-BR3-BR2-34-BB,K,0.558,-1737.008932134826,12:00:05
81-000.558-K-3-O2-O1-21-BB,K,0.558,-1736.9852027115098,12:00:05
81-000.558-K-3-O3-O2-35-BB,K,0.558,-1736.9852556912276,12:00:05
81-000.558-K-3-R6-R6-91-BB,K,0.558,-1736.9714617312477,12:00:05
81-000.558-K-3-BR3-BR2-34-BB,K,0.558,-1736.9449027662188,12:00:06
81-000.558-K-3-O2-O1-21-BB,K,0.558,-1736.9209023409787,12:00:06
81-000.558-K-3-O3-O2-35-BB,K,0.558,-1736.920955858537,12:00:06
81-000.558-K-3-R6-R6-91-BB,K,0.558,-1736.9068196787834,12:00:06
81-000.558-K-3-BR3-BR2-34-BB,K,0.558,-1736.9923237976445,12:00:07
81-000.558-K-3-O2-O1-21-BB,K,0.558,-1736.9718584810726,12:00:07
81-000.558-K-3-O3-O2-35-BB,K,0.558,-1736.9719043392574,12:00:07
81-000.558-K-3-R6-R6-91-BB,K,0.558,-1736.9628317639304,12:00:07
81-000.558-K-3-BR3-BR2-34-BB,K,0.558,-1736.7673447140628,12:00:08
81-000.558-K-3-O2-O1-21-BB,K,0.558,-1736.7464313738597,12:00:08
81-000.558-K-3-O3-O2-35-BB,K,0.558,-1736.7464779155875,12:00:08
81-000.558-K-3-R6-R6-91-BB,K,0.558,-1736.7369451407167,12:00:08
81-000.558-K-3-BR3-BR2-34-BB,K,0.558,-1736.511596547398,12:00:09
81-000.558-K-3-O2-O1-21-BB,K,0.558,-1736.4892449575368,12:00:09
81-000.558-K-3-O3-O2-35-BB,K,0.558,-1736.4892937774896,12:00:09
81-000.558-K-3-R6-R6-91-BB,K,0.558,-1736.4785779500417,12:00:09
81-000.589-K-4-L2-L3-22-BB,K,0.589,-1736.7718142498227,12:00:00
81-000.589-K-4-L2-L3-22-BB,K,0.589,-1737.2812267546958,12:00:01
81-000.589-K-4-L2-L3-22-BB,K,0.589,-1737.057323035966,12:00:02
81-000.589-K-4-L2-L3-22-BB,K,0.589,-1737.0619711325721,12:00:03
81-000.589-K-4-L2-L3-22-BB,K,0.589,-1736.9902271146104,12:00:04
81-000.589-K-4-L2-L3-22-BB,K,0.589,-1737.0034564093348,12:00:05
81-000.589-K-4-L2-L3-22-BB,K,0.589,-1736.9394538023248,12:00:06
81-000.589-K-4-L2-L3-22-BB,K,0.589,-1736.9860225074017,12:00:07
81-000.589-K-4-L2-L3-22-BB,K,0.589,-1736.7609942865843,12:00:08
81-000.589-K-4-L2-L3-22-BB,K,0.589,-1736.5048611452655,12:00:09
81-000.764-K-5-T2-T1-23-BB,K,0.764,-1736.7133421575286,12:00:00
81-000.764-K-6-BR3-BR4-24-BB,K,0.764,-1736.7508556149755,12:00:00
81-000.764-K-5-T2-T1-23-BB,K,0.764,-1737.2472960270316,12:00:01
81-000.764-K-6-BR3-BR4-24-BB,K,0.764,-1737.2753173698839,12:00:01
81-000.764-K-5-T2-T1-23-BB,K,0.764,-1737.01671410203,12:00:02
81-000.764-K-6-BR3-BR4-24-BB,K,0.764,-1737.0484496239617,12:00:02
81-000.764-K-5-T2-T1-23-BB,K,0.764,-1737.0212850572593,12:00:03
81-000.764-K-6-BR3-BR4-24-BB,K,0.764,-1737.0531780324895,12:00:03
81-000.764-K-5-T2-T1-23-BB,K,0.764,-1736.9481946312806,12:00:04
81-000.764-K-6-BR3-BR4-24-BB,K,0.764,-1736.9806149432695,12:00:04
81-000.764-K-5-T2-T1-23-BB,K,0.764,-1736.9648411624275,12:00:05
81-000.764-K-6-BR3-BR4-24-BB,K,0.764,-1736.9959203418064,12:00:05
81-000.764-K-5-T2-T1-23-BB,K,0.764,-1736.9001332040493,12:00:06
