busbar_name,type [R or K],busbar_kilometering [km],voltage [V],timestamp [HH:MM:SS]
85-001.996-R-1-SI-BB1,R,1.996,-0.21031511599638936,12:00:00
85-001.996-R-1-SI-BB2,R,1.996,-0.21031511599647434,12:00:00
85-001.996-R-2-SI-BB1,R,1.996,-0.20651874209057375,12:00:00
85-001.996-R-2-SI-BB2,R,1.996,-0.20669258504724883,12:00:00
85-001.996-R-2-SI-BB3,R,1.996,-0.2068664280040075,12:00:00
85-001.996-R-1-SI-BB1,R,1.996,-0.12480976033069802,12:00:01
85-001.996-R-1-SI-BB2,R,1.996,-0.12480976033074848,12:00:01
85-001.996-R-2-SI-BB1,R,1.996,-0.12765923009122182,12:00:01
85-001.996-R-2-SI-BB2,R,1.996,-0.1275309747724757,12:00:01
85-001.996-R-2-SI-BB3,R,1.996,-0.12740271945378115,12:00:01
85-001.996-R-1-SI-BB1,R,1.996,0.04480957600329482,12:00:02
85-001.996-R-1-SI-BB2,R,1.996,0.04480957600331293,12:00:02
85-001.996-R-2-SI-BB1,R,1.996,0.042863074121508325,12:00:02
85-001.996-R-2-SI-BB2,R,1.996,0.042930684097018904,12:00:02
85-001.996-R-2-SI-BB3,R,1.996,0.042998294072546836,12:00:02
85-001.996-R-1-SI-BB1,R,1.996,0.049969781849411754,12:00:03
85-001.996-R-1-SI-BB2,R,1.996,0.04996978184943195,12:00:03
85-001.996-R-2-SI-BB1,R,1.996,0.04795119080472038,12:00:03
85-001.996-R-2-SI-BB2,R,1.996,0.048019892073287544,12:00:03
85-001.996-R-2-SI-BB3,R,1.996,0.04808859334187412,12:00:03
85-001.996-R-1-SI-BB1,R,1.996,0.08903404665191902,12:00:04
85-001.996-R-1-SI-BB2,R,1.996,0.089034046651955,12:00:04
85-001.996-R-2-SI-BB1,R,1.996,0.08736705570068669,12:00:04
85-001.996-R-2-SI-BB2,R,1.996,0.0874198515654541,12:00:04
85-001.996-R-2-SI-BB3,R,1.996,0.08747264743025682,12:00:04
85-001.996-R-1-SI-BB1,R,1.996,0.15932514196324415,12:00:05
85-001.996-R-1-SI-BB2,R,1.996,0.15932514196330852,12:00:05
85-001.996-R-2-SI-BB1,R,1.996,0.15672437798036098,12:00:05
85-001.996-R-2-SI-BB2,R,1.996,0.1568200113116662,12:00:05
85-001.996-R-2-SI-BB3,R,1.996,0.15691564464303476,12:00:05
85-001.996-R-1-SI-BB1,R,1.996,0.21840333087489208,12:00:06
85-001.996-R-1-SI-BB2,R,1.996,0.21840333087498032,12:00:06
85-001.996-R-2-SI-BB1,R,1.996,0.2158823844022473,12:00:06
85-001.996-R-2-SI-BB2,R,1.996,0.2159722780136518,12:00:06
85-001.996-R-2-SI-BB3,R,1.996,0.21606217162514357,12:00:06
85-001.996-R-1-SI-BB1,R,1.996,0.28637041602648505,12:00:07
85-001.996-R-1-SI-BB2,R,1.996,0.2863704160266008,12:00:07
85-001.996-R-2-SI-BB1,R,1.996,0.282144531639907,12:00:07
85-001.996-R-2-SI-BB2,R,1.996,0.28233859398066885,12:00:07
85-001.996-R-2-SI-BB3,R,1.996,0.2825326563215447,12:00:07
85-001.996-R-1-SI-BB1,R,1.996,0.502728699170135,12:00:08
85-001.996-R-1-SI-BB2,R,1.996,0.5027286991703382,12:00:08
85-001.996-R-2-SI-BB1,R,1.996,0.4985948792435612,12:00:08
85-001.996-R-2-SI-BB2,R,1.996,0.49878236823119837,12:00:08
85-001.996-R-2-SI-BB3,R,1.996,0.4989698572190373,12:00:08
85-001.996-R-1-SI-BB1,R,1.996,0.7909931939476482,12:00:09
85-001.996-R-1-SI-BB2,R,1.996,0.7909931939479679,12:00:09
85-001.996-R-2-SI-BB1,R,1.996,0.7867459244319756,12:00:09
85-001.996-R-2-SI-BB2,R,1.996,0.7869221990734574,12:00:09
85-001.996-R-2-SI-BB3,R,1.996,0.7870984737152573,12:00:09
85-002.332-R-1-SI-BB1,R,2.332,-0.22018523347377678,12:00:00
85-002.332-R-1-SI-BB2,R,2.332,-0.22036601227411545,12:00:00
85-002.332-R-2-SI-BB1,R,2.332,-0.2163586319243271,12:00:00
85-002.332-R-2-SI-BB2,R,2.332,-0.2165324891016202,12:00:00
85-002.332-R-1-SI-BB1,R,2.332,-0.11752129286153808,12:00:01
85-002.332-R-1-SI-BB2,R,2.332,-0.1173878083805989,12:00:01
85-002.332-R-2-SI-BB1,R,2.332,-0.12040021354527393,12:00:01
85-002.332-R-2-SI-BB2,R,2.332,-0.12027196655285882,12:00:01
85-002.332-R-1-SI-BB1,R,2.332,0.048340429501834654,12:00:02
85-002.332-R-1-SI-BB2,R,2.332,0.04840509877961778,12:00:02
85-002.332-R-2-SI-BB1,R,2.332,0.04668987721885712,12:00:02
85-002.332-R-2-SI-BB2,R,2.332,0.046757490207944126,12:00:02
85-002.332-R-1-SI-BB1,R,2.332,0.05352767227993859,12:00:03
85-002.332-R-1-SI-BB2,R,2.332,0.0535928369139735,12:00:03
85-002.332-R-2-SI-BB1,R,2.332,0.0518397704212786,12:00:03
85-002.332-R-2-SI-BB2,R,2.332,0.05190847504749889,12:00:03
85-002.332-R-1-SI-BB1,R,2.332,0.0916898545225163,12:00:04
85-002.332-R-1-SI-BB2,R,2.332,0.09173849877841246,12:00:04
85-002.332-R-2-SI-BB1,R,2.332,0.09035546181077535,12:00:04
85-002.332-R-2-SI-BB2,R,2.332,0.09040826365067497,12:00:04
85-002.332-R-1-SI-BB1,R,2.332,0.1644203587638496,12:00:05
85-002.332-R-1-SI-BB2,R,2.332,0.164513683287609,12:00:05
85-002.332-R-2-SI-BB1,R,2.332,0.16213751184258926,12:00:05
85-002.332-R-2-SI-BB2,R,2.332,0.16223315589427378,12:00:05
85-002.332-R-1-SI-BB1,R,2.332,0.22313887714138714,12:00:06
85-002.332-R-1-SI-BB2,R,2.332,0.2232256162649763,12:00:06
85-002.332-R-2-SI-BB1,R,2.332,0.22097075866266,12:00:06
85-002.332-R-2-SI-BB2,R,2.332,0.22106066695863624,12:00:06
85-002.332-R-1-SI-BB1,R,2.332,0.2974490058816422,12:00:07
85-002.332-R-1-SI-BB2,R,2.332,0.2976519204742134,12:00:07
85-002.332-R-2-SI-BB1,R,2.332,0.2931289773105211,12:00:07
85-002.332-R-2-SI-BB2,R,2.332,0.2933230589938623,12:00:07
85-002.332-R-1-SI-BB1,R,2.332,0.5133960745613811,12:00:08
85-002.332-R-1-SI-BB2,R,2.332,0.5135914650086032,12:00:08
85-002.332-R-2-SI-BB1,R,2.332,0.5092076702430209,12:00:08
85-002.332-R-2-SI-BB2,R,2.332,0.5093951931060353,12:00:08
85-002.332-R-1-SI-BB1,R,2.332,0.8007622984140405,12:00:09
85-002.332-R-1-SI-BB2,R,2.332,0.8009412466666529,12:00:09
85-002.332-R-2-SI-BB1,R,2.332,0.7967245121076748,12:00:09
85-002.332-R-2-SI-BB2,R,2.332,0.7969008399665718,12:00:09
85-002.440-R-2-BB,R,2.44,-0.2226349166948154,12:00:00
85-002.440-R-2-BB,R,2.44,-0.11577052019334862,12:00:01
85-002.440-R-2-BB,R,2.44,0.049130714842359924,12:00:02
85-002.440-R-2-BB,R,2.44,0.05432001711933238,12:00:03
85-002.440-R-2-BB,R,2.44,0.09226162525469955,12:00:04
85-002.440-R-2-BB,R,2.44,0.1655902926543902,12:00:05
85-002.440-R-2-BB,R,2.44,0.22421648985674575,12:00:06
85-002.440-R-2-BB,R,2.44,0.30013538126176575,12:00:07
85-002.440-R-2-BB,R,2.44,0.5159773417519697,12:00:08
85-002.440-R-2-BB,R,2.44,0.803090098490003,12:00:09
85-002.559-R-2-SI-BB1,R,2.559,-0.22937420023612282,12:00:00
85-002.559-R-2-SI-BB2,R,2.559,-0.22954845587037598,12:00:00
85-002.559-R-2-SI-BB1,R,2.559,-0.11093860905615494,12:00:01
85-002.559-R-2-SI-BB2,R,2.559,-0.11081367341708034,12:00:01
85-002.559-R-2-SI-BB1,R,2.559,0.05154464055617169,12:00:02
85-002.559-R-2-SI-BB2,R,2.559,0.05160705652754971,12:00:02
85-002.559-R-2-SI-BB1,R,2.559,0.05676503707890765,12:00:03
85-002.559-R-2-SI-BB2,R,2.559,0.05682825706964319,12:00:03
85-002.559-R-2-SI-BB1,R,2.559,0.0940981114156976,12:00:04
85-002.559-R-2-SI-BB2,R,2.559,0.09414559707581692,12:00:04
85-002.559-R-2-SI-BB1,R,2.559,0.16907001205869637,12:00:05
85-002.559-R-2-SI-BB2,R,2.559,0.16915998642150462,12:00:05
85-002.559-R-2-SI-BB1,R,2.559,0.22746643448010403,12:00:06
85-002.559-R-2-SI-BB2,R,2.559,0.22755046801929954,12:00:06
85-002.559-R-2-SI-BB1,R,2.559,0.30750689372145357,12:00:07
85-002.559-R-2-SI-BB2,R,2.559,0.30769749704620164,12:00:07
85-002.559-R-2-SI-BB1,R,2.559,0.5230870509621287,12:00:08
85-002.559-R-2-SI-BB2,R,2.559,0.5232708862545467,12:00:08
85-002.559-R-2-SI-BB1,R,2.559,0.8096919271147918,12:00:09
85-002.559-R-2-SI-BB2,R,2.559,0.8098626320994377,12:00:09
85-002.579-R-1-SI-BB1,R,2.579,-0.2254331575762862,12:00:00
85-002.579-R-1-SI-BB2,R,2.579,-0.22561356038966224,12:00:00
85-002.579-R-1-SI-BB1,R,2.579,-0.11359065242768684,12:00:01
85-002.579-R-1-SI-BB2,R,2.579,-0.11345386823799324,12:00:01
85-002.579-R-1-SI-BB1,R,2.579,0.05030071598770608,12:00:02
85-002.579-R-1-SI-BB2,R,2.579,0.05037058725285554,12:00:02
85-002.579-R-1-SI-BB1,R,2.579,0.055506833804215346,12:00:03
85-002.579-R-1-SI-BB2,R,2.579,0.05557748856696302,12:00:03
85-002.579-R-1-SI-BB1,R,2.579,0.09318633663079008,12:00:04
85-002.579-R-1-SI-BB2,R,2.579,0.09324030638146742,12:00:04
85-002.579-R-1-SI-BB1,R,2.579,0.16722094157280293,12:00:05
