busbar_name,type [R or K],busbar_kilometering [km],voltage [V],timestamp [HH:MM:SS]
81-000.000-K-3-T5-T5-BB,K,0.0,-1736.7290684075124,12:00:00
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1736.8133700639657,12:00:00
87-000.000-K-11-O1-O1-BB,K,0.0,-1737.1072012717182,12:00:00
87-000.000-K-12-T1-T1-BB,K,0.0,-1737.1072012717182,12:00:00
81-000.000-R-10-BB,R,0.0,-0.11806039805565015,12:00:00
81-000.000-R-11-BB,R,0.0,-0.11800170723062206,12:00:00
81-000.000-R-12-BB,R,0.0,-0.11799039993495394,12:00:00
81-000.000-R-9-BB,R,0.0,-0.11823945772553184,12:00:00
81-000.000-K-3-T5-T5-BB,K,0.0,-1737.2568165585335,12:00:01
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1737.3101660914965,12:00:01
87-000.000-K-11-O1-O1-BB,K,0.0,-1737.3759952648152,12:00:01
87-000.000-K-12-T1-T1-BB,K,0.0,-1737.3759952648152,12:00:01
81-000.000-R-10-BB,R,0.0,-0.08600754239286101,12:00:01
81-000.000-R-11-BB,R,0.0,-0.08596858040000122,12:00:01
81-000.000-R-12-BB,R,0.0,-0.08596083427565622,12:00:01
81-000.000-R-9-BB,R,0.0,-0.08612520581531657,12:00:01
81-000.000-K-3-T5-T5-BB,K,0.0,-1737.0280513176715,12:00:02
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1737.0911772431186,12:00:02
87-000.000-K-11-O1-O1-BB,K,0.0,-1737.1914181698687,12:00:02
87-000.000-K-12-T1-T1-BB,K,0.0,-1737.1914181698687,12:00:02
81-000.000-R-10-BB,R,0.0,0.1000674667651452,12:00:02
81-000.000-R-11-BB,R,0.0,0.10011091978687063,12:00:02
81-000.000-R-12-BB,R,0.0,0.1001183254179471,12:00:02
81-000.000-R-9-BB,R,0.0,0.09992803692140623,12:00:02
81-000.000-K-3-T5-T5-BB,K,0.0,-1737.032655437441,12:00:03
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1737.0960369368731,12:00:03
87-000.000-K-11-O1-O1-BB,K,0.0,-1737.1940291897163,12:00:03
87-000.000-K-12-T1-T1-BB,K,0.0,-1737.1940291897163,12:00:03
81-000.000-R-10-BB,R,0.0,0.10566727053620986,12:00:03
81-000.000-R-11-BB,R,0.0,0.10571067554861233,12:00:03
81-000.000-R-12-BB,R,0.0,0.10571793352690982,12:00:03
81-000.000-R-9-BB,R,0.0,0.10552704940051214,12:00:03
81-000.000-K-3-T5-T5-BB,K,0.0,-1736.9599055529484,12:00:04
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1737.0249976478003,12:00:04
87-000.000-K-11-O1-O1-BB,K,0.0,-1737.1356905181883,12:00:04
87-000.000-K-12-T1-T1-BB,K,0.0,-1737.1356905181883,12:00:04
81-000.000-R-10-BB,R,0.0,0.14754517589378122,12:00:04
81-000.000-R-11-BB,R,0.0,0.14758961646387656,12:00:04
81-000.000-R-12-BB,R,0.0,0.14759706002149853,12:00:04
81-000.000-R-9-BB,R,0.0,0.1474017206036482,12:00:04
81-000.000-K-3-T5-T5-BB,K,0.0,-1736.9756874792902,12:00:05
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1737.0364345513644,12:00:05
87-000.000-K-11-O1-O1-BB,K,0.0,-1737.1151679202203,12:00:05
87-000.000-K-12-T1-T1-BB,K,0.0,-1737.1151679202203,12:00:05
81-000.000-R-10-BB,R,0.0,0.21019207895293887,12:00:05
81-000.000-R-11-BB,R,0.0,0.21023381301820543,12:00:05
81-000.000-R-12-BB,R,0.0,0.2102408127873302,12:00:05
81-000.000-R-9-BB,R,0.0,0.21005734765115172,12:00:05
81-000.000-K-3-T5-T5-BB,K,0.0,-1736.9111720241679,12:00:06
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1736.972977873179,12:00:06
87-000.000-K-11-O1-O1-BB,K,0.0,-1737.0553447789293,12:00:06
87-000.000-K-12-T1-T1-BB,K,0.0,-1737.0553447789296,12:00:06
81-000.000-R-10-BB,R,0.0,0.2709282424896705,12:00:06
81-000.000-R-11-BB,R,0.0,0.27097039143561547,12:00:06
81-000.000-R-12-BB,R,0.0,0.2709773299006073,12:00:06
81-000.000-R-9-BB,R,0.0,0.2707912956048791,12:00:06
81-000.000-K-3-T5-T5-BB,K,0.0,-1736.9652893188584,12:00:07
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1737.0121161475683,12:00:07
87-000.000-K-11-O1-O1-BB,K,0.0,-1737.0327701701565,12:00:07
87-000.000-K-12-T1-T1-BB,K,0.0,-1737.0327701701565,12:00:07
81-000.000-R-10-BB,R,0.0,0.3128481653045212,12:00:07
81-000.000-R-11-BB,R,0.0,0.3128834582526531,12:00:07
81-000.000-R-12-BB,R,0.0,0.31289090668066283,12:00:07
81-000.000-R-9-BB,R,0.0,0.3127443802220522,12:00:07
81-000.000-K-3-T5-T5-BB,K,0.0,-1736.7395750456787,12:00:08
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1736.7879553730809,12:00:08
87-000.000-K-11-O1-O1-BB,K,0.0,-1736.8154317506562,12:00:08
87-000.000-K-12-T1-T1-BB,K,0.0,-1736.8154317506562,12:00:08
81-000.000-R-10-BB,R,0.0,0.5311959417422714,12:00:08
81-000.000-R-11-BB,R,0.0,0.531231390639765,12:00:08
81-000.000-R-12-BB,R,0.0,0.5312385809998863,12:00:08
81-000.000-R-9-BB,R,0.0,0.5310897143861643,12:00:08
81-000.000-K-3-T5-T5-BB,K,0.0,-1736.4816167583604,12:00:09
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1736.5343741228332,12:00:09
87-000.000-K-11-O1-O1-BB,K,0.0,-1736.5614573991563,12:00:09
87-000.000-K-12-T1-T1-BB,K,0.0,-1736.5614573991563,12:00:09
81-000.000-R-10-BB,R,0.0,0.8263200547508502,12:00:09
81-000.000-R-11-BB,R,0.0,0.8263569032895568,12:00:09
81-000.000-R-12-BB,R,0.0,0.826363436811334,12:00:09
81-000.000-R-9-BB,R,0.0,0.8262033141683934,12:00:09
81-000.050-K-4-BR1-L1-83Fødekobler,K,0.05,-1736.8123762690175,12:00:00
82-000.050-R-12-BB,R,0.05,0.0,12:00:00
82-000.050-R-12-BB(1),R,0.05,0.0,12:00:00
82-000.050-R-12-BB(2),R,0.05,0.0,12:00:00
82-000.050-R-12-BB(3),R,0.05,0.0,12:00:00
81-000.050-K-4-BR1-L1-83Fødekobler,K,0.05,-1737.3074721466392,12:00:01
82-000.050-R-12-BB,R,0.05,0.0,12:00:01
82-000.050-R-12-BB(1),R,0.05,0.0,12:00:01
