type,busbar_name,message,timestamp,project in pf,time of log
ERROR,81-001.053-K-2,No closest lines found for busbar,12:00:00,auto_project(59),15:43:37 03-04-2024
ERROR,81-001.053-K-2,Both lower and upper line could not be found,12:00:00,auto_project(59),15:43:37 03-04-2024
ERROR,81-001.053-R-2,Both lower and upper line could not be found,12:00:00,auto_project(59),15:43:37 03-04-2024
ERROR,82-003.267-K-2,Both lower and upper line could not be found,12:00:00,auto_project(59),15:43:44 03-04-2024
ERROR,82-003.267-R-2,Both lower and upper line could not be found,12:00:00,auto_project(59),15:43:44 03-04-2024
ERROR,81-001.053-K-2,No closest lines found for busbar,12:00:00,auto_project(60),15:50:38 03-04-2024
ERROR,81-001.053-K-2,Both lower and upper line could not be found,12:00:00,auto_project(60),15:50:38 03-04-2024
ERROR,81-001.053-R-2,Both lower and upper line could not be found,12:00:00,auto_project(60),15:50:38 03-04-2024
ERROR,82-003.267-K-2,Both lower and upper line could not be found,12:00:00,auto_project(60),15:50:48 03-04-2024
ERROR,82-003.267-R-2,Both lower and upper line could not be found,12:00:00,auto_project(60),15:50:48 03-04-2024
ERROR,81-001.053-K-2,No closest lines found for busbar,12:00:00,auto_project(61),15:57:49 03-04-2024
ERROR,81-001.053-K-2,Both lower and upper line could not be found,12:00:00,auto_project(61),15:57:49 03-04-2024
ERROR,81-001.053-R-2,Both lower and upper line could not be found,12:00:00,auto_project(61),15:57:49 03-04-2024
ERROR,82-003.267-K-2,Both lower and upper line could not be found,12:00:00,auto_project(61),15:57:56 03-04-2024
ERROR,82-003.267-R-2,Both lower and upper line could not be found,12:00:00,auto_project(61),15:57:56 03-04-2024
ERROR,81-001.053-K-2,No closest lines found for busbar,12:00:00,auto_project(62),16:01:44 03-04-2024
ERROR,81-001.053-K-2,Both lower and upper line could not be found,12:00:00,auto_project(62),16:01:44 03-04-2024
ERROR,81-001.053-R-2,Both lower and upper line could not be found,12:00:00,auto_project(62),16:01:44 03-04-2024
ERROR,82-003.267-K-2,Both lower and upper line could not be found,12:00:00,auto_project(62),16:01:50 03-04-2024
ERROR,82-003.267-R-2,Both lower and upper line could not be found,12:00:00,auto_project(62),16:01:50 03-04-2024
ERROR,81-001.053-K-2,No closest lines found for busbar,12:00:00,auto_project(63),16:02:55 03-04-2024
ERROR,81-001.053-K-2,Both lower and upper line could not be found,12:00:00,auto_project(63),16:02:55 03-04-2024
ERROR,81-001.053-R-2,Both lower and upper line could not be found,12:00:00,auto_project(63),16:02:55 03-04-2024
ERROR,82-003.267-K-2,Both lower and upper line could not be found,12:00:00,auto_project(63),16:03:02 03-04-2024
ERROR,82-003.267-R-2,Both lower and upper line could not be found,12:00:00,auto_project(63),16:03:02 03-04-2024
ERROR,81-001.053-K-2,No closest lines found for busbar,12:00:00,auto_project(64),16:20:36 03-04-2024
ERROR,81-001.053-K-2,Both lower and upper line could not be found,12:00:00,auto_project(64),16:20:36 03-04-2024
ERROR,81-001.053-R-2,Both lower and upper line could not be found,12:00:00,auto_project(64),16:20:36 03-04-2024
ERROR,82-003.267-K-2,Both lower and upper line could not be found,12:00:00,auto_project(64),16:20:42 03-04-2024
ERROR,82-003.267-R-2,Both lower and upper line could not be found,12:00:00,auto_project(64),16:20:42 03-04-2024
ERROR,81-001.053-K-2,No closest lines found for busbar,12:00:00,auto_project(65),16:22:57 03-04-2024
ERROR,81-001.053-K-2,Both lower and upper line could not be found,12:00:00,auto_project(65),16:22:57 03-04-2024
ERROR,81-001.053-R-2,Both lower and upper line could not be found,12:00:00,auto_project(65),16:22:57 03-04-2024
ERROR,82-003.267-K-2,Both lower and upper line could not be found,12:00:00,auto_project(65),16:23:03 03-04-2024
ERROR,82-003.267-R-2,Both lower and upper line could not be found,12:00:00,auto_project(65),16:23:03 03-04-2024
ERROR,81-001.053-K-2,No closest lines found for busbar,12:00:00,auto_project(66),16:24:05 03-04-2024
ERROR,81-001.053-K-2,Both lower and upper line could not be found,12:00:00,auto_project(66),16:24:05 03-04-2024
ERROR,81-001.053-R-2,Both lower and upper line could not be found,12:00:00,auto_project(66),16:24:05 03-04-2024
ERROR,82-003.267-K-2,Both lower and upper line could not be found,12:00:00,auto_project(66),16:24:11 03-04-2024
ERROR,82-003.267-R-2,Both lower and upper line could not be found,12:00:00,auto_project(66),16:24:11 03-04-2024
