busbar_name,type [R or K],busbar_kilometering [km],voltage [V],timestamp [HH:MM:SS]
83-003.792-R-1-BB,R,3.792,-0.2530543580463009,12:00:00
83-003.792-R-1-BB,R,3.792,-0.2172474895926007,12:00:01
83-003.792-R-1-BB,R,3.792,-0.046937545652024765,12:00:02
83-003.792-R-1-BB,R,3.792,-0.04296645728367823,12:00:03
83-003.792-R-1-BB,R,3.792,-0.0013567311917975957,12:00:04
83-003.792-R-1-BB,R,3.792,0.06180620141789152,12:00:05
83-003.792-R-1-BB,R,3.792,0.12069601458109185,12:00:06
83-003.792-R-1-BB,R,3.792,0.1832691284637397,12:00:07
83-003.792-R-1-BB,R,3.792,0.3989085970156776,12:00:08
83-003.792-R-1-BB,R,3.792,0.6807728458061667,12:00:09
83-004.234-R-1-BB2,R,4.234,-0.1797508084046485,12:00:00
83-004.234-R-1-BB2,R,4.234,-0.1480168990906258,12:00:01
83-004.234-R-1-BB2,R,4.234,0.021521654385955623,12:00:02
83-004.234-R-1-BB2,R,4.234,0.025305195405293496,12:00:03
83-004.234-R-1-BB2,R,4.234,0.0671171568214326,12:00:04
83-004.234-R-1-BB2,R,4.234,0.12968814354084815,12:00:05
83-004.234-R-1-BB2,R,4.234,0.1884613238667041,12:00:06
83-004.234-R-1-BB2,R,4.234,0.25163872631505,12:00:07
83-004.234-R-1-BB2,R,4.234,0.4670575297655217,12:00:08
83-004.234-R-1-BB2,R,4.234,0.7476613469090512,12:00:09
83-004.255-R-1-Returskab-BB,R,4.255,-0.17895727204016867,12:00:00
83-004.255-R-2-Returskab-BB,R,4.255,-0.17302620901144988,12:00:00
83-004.255-R-1-Returskab-BB,R,4.255,-0.14731627578077747,12:00:01
83-004.255-R-2-Returskab-BB,R,4.255,-0.14170744521570455,12:00:01
83-004.255-R-1-Returskab-BB,R,4.255,0.02222899838491675,12:00:02
83-004.255-R-2-Returskab-BB,R,4.255,0.027780206216974024,12:00:02
83-004.255-R-1-Returskab-BB,R,4.255,0.026010772083359675,12:00:03
83-004.255-R-2-Returskab-BB,R,4.255,0.031547399815209806,12:00:03
83-004.255-R-1-Returskab-BB,R,4.255,0.06782799216161212,12:00:04
83-004.255-R-2-Returskab-BB,R,4.255,0.07338103718734092,12:00:04
83-004.255-R-1-Returskab-BB,R,4.255,0.13038648715964848,12:00:05
83-004.255-R-2-Returskab-BB,R,4.255,0.13589341709498173,12:00:05
83-004.255-R-1-Returskab-BB,R,4.255,0.18916045421649702,12:00:06
83-004.255-R-2-Returskab-BB,R,4.255,0.19465898417242292,12:00:06
83-004.255-R-1-Returskab-BB,R,4.255,0.25232402388059366,12:00:07
83-004.255-R-2-Returskab-BB,R,4.255,0.25786873386542514,12:00:07
83-004.255-R-1-Returskab-BB,R,4.255,0.4677449259230267,12:00:08
83-004.255-R-2-Returskab-BB,R,4.255,0.47327490956822593,12:00:08
83-004.255-R-1-Returskab-BB,R,4.255,0.7483431791981091,12:00:09
83-004.255-R-2-Returskab-BB,R,4.255,0.7537778368904828,12:00:09
83-004.300-R-2-BB2,R,4.3,-0.172848912045553,12:00:00
83-004.300-R-2-BB2,R,4.3,-0.14145482691017658,12:00:01
83-004.300-R-2-BB2,R,4.3,0.02800648574674559,12:00:02
83-004.300-R-2-BB2,R,4.3,0.03177293064652706,12:00:03
83-004.300-R-2-BB2,R,4.3,0.07360183513212333,12:00:04
83-004.300-R-2-BB2,R,4.3,0.1361236208251241,12:00:05
83-004.300-R-2-BB2,R,4.3,0.19488567755773392,12:00:06
83-004.300-R-2-BB2,R,4.3,0.25813094473472703,12:00:07
83-004.300-R-2-BB2,R,4.3,0.4735297391981036,12:00:08
83-004.300-R-2-BB2,R,4.3,0.7540175514765918,12:00:09
83-004.409-R-1-BB,R,4.409,-0.1611433904496404,12:00:00
83-004.409-R-2-BB,R,4.409,-0.16127464014933623,12:00:00
83-004.409-R-1-BB,R,4.409,-0.12980253850215423,12:00:01
83-004.409-R-2-BB,R,4.409,-0.129942141692868,12:00:01
83-004.409-R-1-BB,R,4.409,0.039342688624880474,12:00:02
83-004.409-R-2-BB,R,4.409,0.039209798949329994,12:00:02
83-004.409-R-1-BB,R,4.409,0.04307517719858918,12:00:03
83-004.409-R-2-BB,R,4.409,0.04294275320547109,12:00:03
83-004.409-R-1-BB,R,4.409,0.08489826258229013,12:00:04
83-004.409-R-2-BB,R,4.409,0.08476649569482592,12:00:04
83-004.409-R-1-BB,R,4.409,0.14739894522358485,12:00:05
83-004.409-R-2-BB,R,4.409,0.1472663491327679,12:00:05
83-004.409-R-1-BB,R,4.409,0.206115724669569,12:00:06
83-004.409-R-2-BB,R,4.409,0.20598408902259108,12:00:06
83-004.409-R-1-BB,R,4.409,0.2697140477937711,12:00:07
83-004.409-R-2-BB,R,4.409,0.2695743827600242,12:00:07
83-004.409-R-1-BB,R,4.409,0.48501831779662263,12:00:08
83-004.409-R-2-BB,R,4.409,0.4848807524515327,12:00:08
83-004.409-R-1-BB,R,4.409,0.7651966133900577,12:00:09
83-004.409-R-2-BB,R,4.409,0.765064452174577,12:00:09
83-004.450-R-2-BB,R,4.45,-0.15732462367273245,12:00:00
83-004.450-R-2-BB,R,4.45,-0.12604097470450523,12:00:01
83-004.450-R-2-BB,R,4.45,0.043015257607494486,12:00:02
83-004.450-R-2-BB,R,4.45,0.04673704681153587,12:00:03
83-004.450-R-2-BB,R,4.45,0.08856087241249994,12:00:04
83-004.450-R-2-BB,R,4.45,0.1510499325485706,12:00:05
83-004.450-R-2-BB,R,4.45,0.20975396203280214,12:00:06
83-004.450-R-2-BB,R,4.45,0.27344935239949847,12:00:07
83-004.450-R-2-BB,R,4.45,0.48872743486936027,12:00:08
83-004.450-R-2-BB,R,4.45,0.7688133893269793,12:00:09
83-004.474-R-1/2-BB,R,4.474,-0.15635964410273084,12:00:00
83-004.474-R-1/2-BB,R,4.474,-0.12508645166897941,12:00:01
83-004.474-R-1/2-BB,R,4.474,0.043945874291370944,12:00:02
83-004.474-R-1/2-BB,R,4.474,0.04766492184358296,12:00:03
83-004.474-R-1/2-BB,R,4.474,0.08948866957466244,12:00:04
83-004.474-R-1/2-BB,R,4.474,0.15197526819958782,12:00:05
83-004.474-R-1/2-BB,R,4.474,0.21067587287512327,12:00:06
83-004.474-R-1/2-BB,R,4.474,0.27439760933441026,12:00:07
83-004.474-R-1/2-BB,R,4.474,0.4896686072679723,12:00:08
83-004.474-R-1/2-BB,R,4.474,0.7697303605253787,12:00:09
83-004.494-R-2-BB,R,4.494,-0.15405057590086968,12:00:00
83-004.494-R-2-BB,R,4.494,-0.1228088913508712,12:00:01
83-004.494-R-2-BB,R,4.494,0.04616855153320989,12:00:02
83-004.494-R-2-BB,R,4.494,0.049881100725868564,12:00:03
83-004.494-R-2-BB,R,4.494,0.09170509724752147,12:00:04
83-004.494-R-2-BB,R,4.494,0.15418504160370838,12:00:05
83-004.494-R-2-BB,R,4.494,0.2128777877063003,12:00:06
83-004.494-R-2-BB,R,4.494,0.27665962447642206,12:00:07
83-004.494-R-2-BB,R,4.494,0.49191445432321684,12:00:08
83-004.494-R-2-BB,R,4.494,0.7719197384637935,12:00:09
83-004.507-R-1-BB,R,4.507,-0.1552740212734092,12:00:00
83-004.507-R-1-BB,R,4.507,-0.12401385797909405,12:00:01
83-004.507-R-1-BB,R,4.507,0.044992026896682955,12:00:02
83-004.507-R-1-BB,R,4.507,0.048708002170507365,12:00:03
83-004.507-R-1-BB,R,4.507,0.09053174744619366,12:00:04
83-004.507-R-1-BB,R,4.507,0.1530154281250151,12:00:05
83-004.507-R-1-BB,R,4.507,0.2117122458513691,12:00:06
83-004.507-R-1-BB,R,4.507,0.27546304848762526,12:00:07
83-004.507-R-1-BB,R,4.507,0.4907262305385827,12:00:08
83-004.507-R-1-BB,R,4.507,0.7707610399099559,12:00:09
83-004.533-R-2-SI-BB1,R,4.533,-0.14889724926401438,12:00:00
83-004.533-R-2-SI-BB2,R,4.533,-0.14849067543791447,12:00:00
83-004.533-R-2-SI-BB1,R,4.533,-0.11772347820301095,12:00:01
83-004.533-R-2-SI-BB2,R,4.533,-0.11732226238260393,12:00:01
83-004.533-R-2-SI-BB1,R,4.533,0.051130630764521026,12:00:02
83-004.533-R-2-SI-BB2,R,4.533,0.051522116427201656,12:00:02
83-004.533-R-2-SI-BB1,R,4.533,0.05482865433520884,12:00:03
83-004.533-R-2-SI-BB2,R,4.533,0.05521899399935947,12:00:03
83-004.533-R-2-SI-BB1,R,4.533,0.09665304818602469,12:00:04
83-004.533-R-2-SI-BB2,R,4.533,0.09704341927922001,12:00:04
83-004.533-R-2-SI-BB1,R,4.533,0.15911842960435285,12:00:05
83-004.533-R-2-SI-BB2,R,4.533,0.15950765186958385,12:00:05
83-004.533-R-2-SI-BB1,R,4.533,0.21779351699372754,12:00:06
83-004.533-R-2-SI-BB2,R,4.533,0.218181346180956,12:00:06
83-004.533-R-2-SI-BB1,R,4.533,0.2817105794944187,12:00:07
83-004.533-R-2-SI-BB2,R,4.533,0.28210907750360326,12:00:07
83-004.533-R-2-SI-BB1,R,4.533,0.4969290519557314,12:00:08
83-004.533-R-2-SI-BB2,R,4.533,0.49732468195173796,12:00:08
