busbar_name,type [R or K],busbar_kilometering [km],voltage [V],timestamp [HH:MM:SS]
81-000.000-K-3-T5-T5-BB,K,0.0,-1736.1203297211346,12:00:10
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1736.1745385843474,12:00:10
87-000.000-K-11-O1-O1-BB,K,0.0,-1736.2081614605388,12:00:10
87-000.000-K-12-T1-T1-BB,K,0.0,-1736.2081614605388,12:00:10
81-000.000-R-10-BB,R,0.0,1.1785592580013682,12:00:10
81-000.000-R-11-BB,R,0.0,1.1785966037369866,12:00:10
81-000.000-R-12-BB,R,0.0,1.1786031401770762,12:00:10
81-000.000-R-9-BB,R,0.0,1.1784403666760697,12:00:10
81-000.000-K-3-T5-T5-BB,K,0.0,-1734.3097630166283,12:00:20
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1734.3252324778794,12:00:20
87-000.000-K-11-O1-O1-BB,K,0.0,-1734.1962779233975,12:00:20
87-000.000-K-12-T1-T1-BB,K,0.0,-1734.1962779233975,12:00:20
81-000.000-R-10-BB,R,0.0,3.2597313314094616,12:00:20
81-000.000-R-11-BB,R,0.0,3.2597498857150446,12:00:20
81-000.000-R-12-BB,R,0.0,3.259757800597781,12:00:20
81-000.000-R-9-BB,R,0.0,3.2597031124708304,12:00:20
81-000.000-K-3-T5-T5-BB,K,0.0,-1733.9474151087454,12:00:40
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1733.8266157179278,12:00:40
87-000.000-K-11-O1-O1-BB,K,0.0,-1734.0920587833054,12:00:40
87-000.000-K-12-T1-T1-BB,K,0.0,-1734.0920587833054,12:00:40
81-000.000-R-10-BB,R,0.0,0.8374732174887026,12:00:40
81-000.000-R-11-BB,R,0.0,0.8374888547894127,12:00:40
81-000.000-R-12-BB,R,0.0,0.8375475263609387,12:00:40
81-000.000-R-9-BB,R,0.0,0.8378012690688892,12:00:40
81-000.000-K-3-T5-T5-BB,K,0.0,-1736.3406092402156,12:00:50
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1736.2874120619924,12:00:50
87-000.000-K-11-O1-O1-BB,K,0.0,-1736.4840906433556,12:00:50
87-000.000-K-12-T1-T1-BB,K,0.0,-1736.4840906433556,12:00:50
81-000.000-R-10-BB,R,0.0,-0.6047186254124497,12:00:50
81-000.000-R-11-BB,R,0.0,-0.6046969950687996,12:00:50
81-000.000-R-12-BB,R,0.0,-0.6046591553298352,12:00:50
81-000.000-R-9-BB,R,0.0,-0.6045574978499062,12:00:50
81-000.050-K-4-BR1-L1-83Fødekobler,K,0.05,-1736.1706156038429,12:00:10
82-000.050-R-12-BB,R,0.05,0.0,12:00:10
82-000.050-R-12-BB(1),R,0.05,0.0,12:00:10
82-000.050-R-12-BB(2),R,0.05,0.0,12:00:10
82-000.050-R-12-BB(3),R,0.05,0.0,12:00:10
81-000.050-K-4-BR1-L1-83Fødekobler,K,0.05,-1734.3238592447535,12:00:20
82-000.050-R-12-BB,R,0.05,0.0,12:00:20
