id,km,BTR,spor,koerledning_pos,retur_pos
47725,18.93,85,Nordgaaende,85-018.930-K-2,85-018.930-R-2
47719,18.913,85,Nordgaaende,85-018.913-K-2,85-018.913-R-2
47713,18.896,85,Nordgaaende,85-018.896-K-2,85-018.896-R-2
47707,18.88,85,Nordgaaende,85-018.880-K-2,85-018.880-R-2
47701,18.864,85,Nordgaaende,85-018.864-K-2,85-018.864-R-2
47695,18.849,85,Nordgaaende,85-018.849-K-2,85-018.849-R-2
47689,18.834,85,Nordgaaende,85-018.834-K-2,85-018.834-R-2
47683,18.819,85,Nordgaaende,85-018.819-K-2,85-018.819-R-2
47677,18.805,85,Nordgaaende,85-018.805-K-2,85-018.805-R-2
47671,18.791,85,Nordgaaende,85-018.791-K-2,85-018.791-R-2
47665,18.777,85,Nordgaaende,85-018.777-K-2,85-018.777-R-2
47659,18.764,85,Nordgaaende,85-018.764-K-2,85-018.764-R-2
47653,18.751,85,Nordgaaende,85-018.751-K-2,85-018.751-R-2
47647,18.739,85,Nordgaaende,85-018.739-K-2,85-018.739-R-2
47641,18.727,85,Nordgaaende,85-018.727-K-2,85-018.727-R-2
47635,18.715,85,Nordgaaende,85-018.715-K-2,85-018.715-R-2
47629,18.704,85,Nordgaaende,85-018.704-K-2,85-018.704-R-2
47623,18.693,85,Nordgaaende,85-018.693-K-2,85-018.693-R-2
47617,18.682,85,Nordgaaende,85-018.682-K-2,85-018.682-R-2
47611,18.672,85,Nordgaaende,85-018.672-K-2,85-018.672-R-2
47605,18.662,85,Nordgaaende,85-018.662-K-2,85-018.662-R-2
47599,18.652,85,Nordgaaende,85-018.652-K-2,85-018.652-R-2
47593,18.642,85,Nordgaaende,85-018.642-K-2,85-018.642-R-2
47587,18.632,85,Nordgaaende,85-018.632-K-2,85-018.632-R-2
47581,18.622,85,Nordgaaende,85-018.622-K-2,85-018.622-R-2
47575,18.613,85,Nordgaaende,85-018.613-K-2,85-018.613-R-2
47569,18.604,85,Nordgaaende,85-018.604-K-2,85-018.604-R-2
47563,18.595,85,Nordgaaende,85-018.595-K-2,85-018.595-R-2
47557,18.586,85,Nordgaaende,85-018.586-K-2,85-018.586-R-2
47551,18.577,85,Nordgaaende,85-018.577-K-2,85-018.577-R-2
47545,18.568,85,Nordgaaende,85-018.568-K-2,85-018.568-R-2
47539,18.559,85,Nordgaaende,85-018.559-K-2,85-018.559-R-2
47533,18.55,85,Nordgaaende,85-018.550-K-2,85-018.550-R-2
47527,18.54,85,Nordgaaende,85-018.540-K-2,85-018.540-R-2
47521,18.529,85,Nordgaaende,85-018.529-K-2,85-018.529-R-2
47515,18.517,85,Nordgaaende,85-018.517-K-2,85-018.517-R-2
47509,18.504,85,Nordgaaende,85-018.504-K-2,85-018.504-R-2
47503,18.49,85,Nordgaaende,85-018.490-K-2,85-018.490-R-2
47497,18.475,85,Nordgaaende,85-018.475-K-2,85-018.475-R-2
47491,18.459,85,Nordgaaende,85-018.459-K-2,85-018.459-R-2
47485,18.442,85,Nordgaaende,85-018.442-K-2,85-018.442-R-2
47479,18.425,85,Nordgaaende,85-018.425-K-2,85-018.425-R-2
47473,18.407,85,Nordgaaende,85-018.407-K-2,85-018.407-R-2
47467,18.388,85,Nordgaaende,85-018.388-K-2,85-018.388-R-2
47461,18.369,85,Nordgaaende,85-018.369-K-2,85-018.369-R-2
47455,18.35,85,Nordgaaende,85-018.350-K-2,85-018.350-R-2
47449,18.331,85,Nordgaaende,85-018.331-K-2,85-018.331-R-2
47443,18.312,85,Nordgaaende,85-018.312-K-2,85-018.312-R-2
47437,18.293,85,Nordgaaende,85-018.293-K-2,85-018.293-R-2
47431,18.274,85,Nordgaaende,85-018.274-K-2,85-018.274-R-2
47425,18.255,85,Nordgaaende,85-018.255-K-2,85-018.255-R-2
47419,18.236,85,Nordgaaende,85-018.236-K-2,85-018.236-R-2
47413,18.217,85,Nordgaaende,85-018.217-K-2,85-018.217-R-2
47407,18.198,85,Nordgaaende,85-018.198-K-2,85-018.198-R-2
47401,18.179,85,Nordgaaende,85-018.179-K-2,85-018.179-R-2
47395,18.16,85,Nordgaaende,85-018.160-K-2,85-018.160-R-2
47389,18.141,85,Nordgaaende,85-018.141-K-2,85-018.141-R-2
47383,18.122,85,Nordgaaende,85-018.122-K-2,85-018.122-R-2
47377,18.103,85,Nordgaaende,85-018.103-K-2,85-018.103-R-2
47371,18.084,85,Nordgaaende,85-018.084-K-2,85-018.084-R-2
47365,18.065,85,Nordgaaende,85-018.065-K-2,85-018.065-R-2
47359,18.046,85,Nordgaaende,85-018.046-K-2,85-018.046-R-2
47353,18.027,85,Nordgaaende,85-018.027-K-2,85-018.027-R-2
47347,18.009,85,Nordgaaende,85-018.009-K-2,85-018.009-R-2
47341,17.991,85,Nordgaaende,85-017.991-K-2,85-017.991-R-2
47335,17.973,85,Nordgaaende,85-017.973-K-2,85-017.973-R-2
47329,17.955,85,Nordgaaende,85-017.955-K-2,85-017.955-R-2
47323,17.937,85,Nordgaaende,85-017.937-K-2,85-017.937-R-2
47317,17.919,85,Nordgaaende,85-017.919-K-2,85-017.919-R-2
47311,17.901,85,Nordgaaende,85-017.901-K-2,85-017.901-R-2
47305,17.883,85,Nordgaaende,85-017.883-K-2,85-017.883-R-2
47299,17.864,85,Nordgaaende,85-017.864-K-2,85-017.864-R-2
47293,17.845,85,Nordgaaende,85-017.845-K-2,85-017.845-R-2
47287,17.826,85,Nordgaaende,85-017.826-K-2,85-017.826-R-2
47281,17.807,85,Nordgaaende,85-017.807-K-2,85-017.807-R-2
47275,17.788,85,Nordgaaende,85-017.788-K-2,85-017.788-R-2
47269,17.769,85,Nordgaaende,85-017.769-K-2,85-017.769-R-2
47263,17.75,85,Nordgaaende,85-017.750-K-2,85-017.750-R-2
47257,17.731,85,Nordgaaende,85-017.731-K-2,85-017.731-R-2
47251,17.712,85,Nordgaaende,85-017.712-K-2,85-017.712-R-2
47245,17.693,85,Nordgaaende,85-017.693-K-2,85-017.693-R-2
