id,km,BTR,spor
47725,18.93,85,Nordgaaende
47719,18.913,85,Nordgaaende
47713,18.896,85,Nordgaaende
47707,18.88,85,Nordgaaende
47701,18.864,85,Nordgaaende
47695,18.849,85,Nordgaaende
47689,18.834,85,Nordgaaende
47683,18.819,85,Nordgaaende
47677,18.805,85,Nordgaaende
47671,18.791,85,Nordgaaende
47665,18.777,85,Nordgaaende
47659,18.764,85,Nordgaaende
47653,18.751,85,Nordgaaende
47647,18.739,85,Nordgaaende
47641,18.727,85,Nordgaaende
47635,18.715,85,Nordgaaende
47629,18.704,85,Nordgaaende
47623,18.693,85,Nordgaaende
47617,18.682,85,Nordgaaende
47611,18.672,85,Nordgaaende
47605,18.662,85,Nordgaaende
47599,18.652,85,Nordgaaende
47593,18.642,85,Nordgaaende
47587,18.632,85,Nordgaaende
47581,18.622,85,Nordgaaende
47575,18.613,85,Nordgaaende
47569,18.604,85,Nordgaaende
47563,18.595,85,Nordgaaende
47557,18.586,85,Nordgaaende
47551,18.577,85,Nordgaaende
47545,18.568,85,Nordgaaende
47539,18.559,85,Nordgaaende
47533,18.55,85,Nordgaaende
47527,18.54,85,Nordgaaende
47521,18.529,85,Nordgaaende
47515,18.517,85,Nordgaaende
47509,18.504,85,Nordgaaende
47503,18.49,85,Nordgaaende
47497,18.475,85,Nordgaaende
47491,18.459,85,Nordgaaende
47485,18.442,85,Nordgaaende
47479,18.425,85,Nordgaaende
47473,18.407,85,Nordgaaende
47467,18.388,85,Nordgaaende
47461,18.369,85,Nordgaaende
47455,18.35,85,Nordgaaende
47449,18.331,85,Nordgaaende
47443,18.312,85,Nordgaaende
47437,18.293,85,Nordgaaende
47431,18.274,85,Nordgaaende
47425,18.255,85,Nordgaaende
47419,18.236,85,Nordgaaende
47413,18.217,85,Nordgaaende
47407,18.198,85,Nordgaaende
47401,18.179,85,Nordgaaende
47395,18.16,85,Nordgaaende
47389,18.141,85,Nordgaaende
47383,18.122,85,Nordgaaende
47377,18.103,85,Nordgaaende
47371,18.084,85,Nordgaaende
47365,18.065,85,Nordgaaende
47359,18.046,85,Nordgaaende
47353,18.027,85,Nordgaaende
47347,18.009,85,Nordgaaende
47341,17.991,85,Nordgaaende
47335,17.973,85,Nordgaaende
47329,17.955,85,Nordgaaende
47323,17.937,85,Nordgaaende
47317,17.919,85,Nordgaaende
47311,17.901,85,Nordgaaende
47305,17.883,85,Nordgaaende
47299,17.864,85,Nordgaaende
47293,17.845,85,Nordgaaende
47287,17.826,85,Nordgaaende
47281,17.807,85,Nordgaaende
47275,17.788,85,Nordgaaende
47269,17.769,85,Nordgaaende
47263,17.75,85,Nordgaaende
47257,17.731,85,Nordgaaende
47251,17.712,85,Nordgaaende
47245,17.693,85,Nordgaaende
47239,17.674,85,Nordgaaende
47233,17.655,85,Nordgaaende
47227,17.636,85,Nordgaaende
47221,17.617,85,Nordgaaende
47215,17.598,85,Nordgaaende
47209,17.579,85,Nordgaaende
47203,17.561,85,Nordgaaende
47197,17.543,85,Nordgaaende
47191,17.525,85,Nordgaaende
47185,17.507,85,Nordgaaende
47179,17.489,85,Nordgaaende
47173,17.471,85,Nordgaaende
47167,17.453,85,Nordgaaende
47161,17.435,85,Nordgaaende
47155,17.416,85,Nordgaaende
47149,17.397,85,Nordgaaende
47143,17.378,85,Nordgaaende
47137,17.359,85,Nordgaaende
47131,17.34,85,Nordgaaende
47125,17.321,85,Nordgaaende
47119,17.302,85,Nordgaaende
47113,17.283,85,Nordgaaende
47107,17.264,85,Nordgaaende
47101,17.245,85,Nordgaaende
47095,17.226,85,Nordgaaende
47089,17.207,85,Nordgaaende
47083,17.188,85,Nordgaaende
47077,17.169,85,Nordgaaende
47071,17.15,85,Nordgaaende
47065,17.131,85,Nordgaaende
47059,17.112,85,Nordgaaende
47053,17.093,85,Nordgaaende
47047,17.075,85,Nordgaaende
47041,17.057,85,Nordgaaende
47035,17.04,85,Nordgaaende
47029,17.024,85,Nordgaaende
47023,17.008,85,Nordgaaende
47017,16.993,85,Nordgaaende
47011,16.979,85,Nordgaaende
47005,16.965,85,Nordgaaende
46999,16.952,85,Nordgaaende
46993,16.94,85,Nordgaaende
46987,16.929,85,Nordgaaende
46981,16.92,85,Nordgaaende
46975,16.912,85,Nordgaaende
46969,16.905,85,Nordgaaende
46963,16.899,85,Nordgaaende
46957,16.893,85,Nordgaaende
46951,16.888,85,Nordgaaende
46945,16.884,85,Nordgaaende
46939,16.881,85,Nordgaaende
46933,16.879,85,Nordgaaende
46753,16.878,85,Nordgaaende
46747,16.877,85,Nordgaaende
46741,16.876,85,Nordgaaende
46735,16.874,85,Nordgaaende
46729,16.87,85,Nordgaaende
46723,16.865,85,Nordgaaende
46717,16.859,85,Nordgaaende
46711,16.851,85,Nordgaaende
46705,16.842,85,Nordgaaende
46699,16.831,85,Nordgaaende
46693,16.819,85,Nordgaaende
46687,16.806,85,Nordgaaende
46681,16.792,85,Nordgaaende
46675,16.777,85,Nordgaaende
46669,16.761,85,Nordgaaende
46663,16.745,85,Nordgaaende
46657,16.728,85,Nordgaaende
46651,16.71,85,Nordgaaende
46645,16.691,85,Nordgaaende
46639,16.672,85,Nordgaaende
46633,16.652,85,Nordgaaende
46627,16.631,85,Nordgaaende
46621,16.61,85,Nordgaaende
46615,16.588,85,Nordgaaende
46609,16.566,85,Nordgaaende
46603,16.543,85,Nordgaaende
46597,16.52,85,Nordgaaende
46591,16.496,85,Nordgaaende
46585,16.472,85,Nordgaaende
46579,16.447,85,Nordgaaende
46573,16.422,85,Nordgaaende
46567,16.397,85,Nordgaaende
46561,16.372,85,Nordgaaende
46555,16.347,85,Nordgaaende
46549,16.322,85,Nordgaaende
46543,16.297,85,Nordgaaende
46537,16.272,85,Nordgaaende
46531,16.247,85,Nordgaaende
46525,16.222,85,Nordgaaende
46519,16.197,85,Nordgaaende
46513,16.172,85,Nordgaaende
46507,16.147,85,Nordgaaende
46501,16.122,85,Nordgaaende
46495,16.097,85,Nordgaaende
46489,16.072,85,Nordgaaende
46483,16.047,85,Nordgaaende
46477,16.022,85,Nordgaaende
46471,15.997,85,Nordgaaende
46465,15.972,85,Nordgaaende
46459,15.946,85,Nordgaaende
46453,15.92,85,Nordgaaende
46447,15.894,85,Nordgaaende
46441,15.868,85,Nordgaaende
46435,15.842,85,Nordgaaende
46429,15.816,85,Nordgaaende
46423,15.791,85,Nordgaaende
46417,15.766,85,Nordgaaende
46411,15.741,85,Nordgaaende
46405,15.716,85,Nordgaaende
46399,15.691,85,Nordgaaende
46393,15.666,85,Nordgaaende
46387,15.642,85,Nordgaaende
46381,15.618,85,Nordgaaende
46375,15.594,85,Nordgaaende
46369,15.57,85,Nordgaaende
46363,15.546,85,Nordgaaende
46357,15.522,85,Nordgaaende
46351,15.498,85,Nordgaaende
46345,15.474,85,Nordgaaende
46339,15.451,85,Nordgaaende
46333,15.428,85,Nordgaaende
46327,15.405,85,Nordgaaende
46321,15.382,85,Nordgaaende
46315,15.359,85,Nordgaaende
46309,15.336,85,Nordgaaende
46303,15.313,85,Nordgaaende
46297,15.291,85,Nordgaaende
46291,15.269,85,Nordgaaende
46285,15.247,85,Nordgaaende
46279,15.225,85,Nordgaaende
46273,15.203,85,Nordgaaende
46267,15.181,85,Nordgaaende
46261,15.159,85,Nordgaaende
46255,15.137,85,Nordgaaende
46249,15.115,85,Nordgaaende
46243,15.093,85,Nordgaaende
46237,15.071,85,Nordgaaende
46231,15.049,85,Nordgaaende
