busbar_name,type [R or K],busbar_kilometering [km],voltage [V],timestamp [HH:MM:SS]
82-000.050-R-12-BB,R,0.05,0.0,12:00:00
82-000.050-R-12-BB(1),R,0.05,0.0,12:00:00
82-000.050-R-12-BB(2),R,0.05,0.0,12:00:00
82-000.050-R-12-BB(3),R,0.05,0.0,12:00:00
82-000.050-R-12-BB,R,0.05,0.0,12:00:10
82-000.050-R-12-BB(1),R,0.05,0.0,12:00:10
82-000.050-R-12-BB(2),R,0.05,0.0,12:00:10
82-000.050-R-12-BB(3),R,0.05,0.0,12:00:10
82-000.050-R-12-BB,R,0.05,0.0,12:00:20
82-000.050-R-12-BB(1),R,0.05,0.0,12:00:20
82-000.050-R-12-BB(2),R,0.05,0.0,12:00:20
82-000.050-R-12-BB(3),R,0.05,0.0,12:00:20
82-000.050-R-12-BB,R,0.05,0.0,12:00:40
82-000.050-R-12-BB(1),R,0.05,0.0,12:00:40
82-000.050-R-12-BB(2),R,0.05,0.0,12:00:40
82-000.050-R-12-BB(3),R,0.05,0.0,12:00:40
82-000.050-R-12-BB,R,0.05,0.0,12:00:50
82-000.050-R-12-BB(1),R,0.05,0.0,12:00:50
82-000.050-R-12-BB(2),R,0.05,0.0,12:00:50
82-000.050-R-12-BB(3),R,0.05,0.0,12:00:50
82-000.050-R-12-BB,R,0.05,0.0,12:01:00
82-000.050-R-12-BB(1),R,0.05,0.0,12:01:00
82-000.050-R-12-BB(2),R,0.05,0.0,12:01:00
82-000.050-R-12-BB(3),R,0.05,0.0,12:01:00
82-000.050-R-12-BB,R,0.05,0.0,12:01:10
82-000.050-R-12-BB(1),R,0.05,0.0,12:01:10
82-000.050-R-12-BB(2),R,0.05,0.0,12:01:10
82-000.050-R-12-BB(3),R,0.05,0.0,12:01:10
82-000.092-R-10-BB,R,0.092,-0.4490788124030895,12:00:00
82-000.092-R-10-BB,R,0.092,0.9421655488589409,12:00:10
82-000.092-R-10-BB,R,0.092,2.6575722070160563,12:00:20
82-000.092-R-10-BB,R,0.092,0.6443510423543467,12:00:40
82-000.092-R-10-BB,R,0.092,-0.43324002962671865,12:00:50
82-000.092-R-10-BB,R,0.092,-0.18789861968696303,12:01:00
82-000.092-R-10-BB,R,0.092,0.7096647201828907,12:01:10
82-000.140-R-11-BB,R,0.14,-0.4513234468071598,12:00:00
82-000.140-R-12-BB,R,0.14,-0.45163832352802624,12:00:00
82-000.140-R-2-Returskab-BB,R,0.14,-0.4514077337048529,12:00:00
82-000.140-R-11-BB,R,0.14,0.9411064226503991,12:00:10
82-000.140-R-12-BB,R,0.14,0.9409586157486383,12:00:10
82-000.140-R-2-Returskab-BB,R,0.14,0.9411870485369624,12:00:10
82-000.140-R-11-BB,R,0.14,2.654396024351961,12:00:20
82-000.140-R-12-BB,R,0.14,2.6539475867047466,12:00:20
82-000.140-R-2-Returskab-BB,R,0.14,2.65381149092561,12:00:20
82-000.140-R-11-BB,R,0.14,0.6319844286781542,12:00:40
82-000.140-R-12-BB,R,0.14,0.6302387513191019,12:00:40
82-000.140-R-2-Returskab-BB,R,0.14,0.6297872947489483,12:00:40
82-000.140-R-11-BB,R,0.14,-0.4418577547745342,12:00:50
82-000.140-R-12-BB,R,0.14,-0.44307345301803447,12:00:50
82-000.140-R-2-Returskab-BB,R,0.14,-0.44326479724046003,12:00:50
82-000.140-R-11-BB,R,0.14,-0.1895114619335305,12:01:00
82-000.140-R-12-BB,R,0.14,-0.18973655359605748,12:01:00
82-000.140-R-2-Returskab-BB,R,0.14,-0.18938755849792588,12:01:00
82-000.140-R-11-BB,R,0.14,0.7305469227543895,12:01:10
82-000.140-R-12-BB,R,0.14,0.7335179899560343,12:01:10
82-000.140-R-2-Returskab-BB,R,0.14,0.7379768425501839,12:01:10
82-000.157-R-1-BB,R,0.157,-0.45384691229873464,12:00:00
82-000.157-R-1-BB,R,0.157,0.9395222130695058,12:00:10
82-000.157-R-1-BB,R,0.157,2.652346421003809,12:00:20
82-000.157-R-1-BB,R,0.157,0.6237467226277198,12:00:40
82-000.157-R-1-BB,R,0.157,-0.4480039075145797,12:00:50
82-000.157-R-1-BB,R,0.157,-0.19192766105580922,12:01:00
82-000.157-R-1-BB,R,0.157,0.7322971469811919,12:01:10
82-000.167-R-2-BB,R,0.167,-0.45611024852474336,12:00:00
82-000.167-R-2-BB,R,0.167,0.9382741192700428,12:00:10
82-000.167-R-2-BB,R,0.167,2.64984025510003,12:00:20
82-000.167-R-2-BB,R,0.167,0.6138705980758935,12:00:40
82-000.167-R-2-BB,R,0.167,-0.4550718198372355,12:00:50
82-000.167-R-2-BB,R,0.167,-0.1938300166132209,12:01:00
82-000.167-R-2-BB,R,0.167,0.7434066967167006,12:01:10
82-000.250-R-1-BB,R,0.25,-0.47221687615645597,12:00:00
