busbar_name,type [R or K],busbar_kilometering [km],voltage [V],timestamp [HH:MM:SS]
81-000.000-K-3-T5-T5-BB,K,0.0,-1734.4482580236388,12:00:00
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1734.3933125128635,12:00:00
87-000.000-K-11-O1-O1-BB,K,0.0,-1736.5606879816035,12:00:00
87-000.000-K-12-T1-T1-BB,K,0.0,-1736.5606879816598,12:00:00
81-000.000-R-10-BB,R,0.0,-0.44088135179562044,12:00:00
81-000.000-R-11-BB,R,0.0,-0.44080144330140036,12:00:00
81-000.000-R-12-BB,R,0.0,-0.4407390808857719,12:00:00
81-000.000-R-9-BB,R,0.0,-0.44080668102938386,12:00:00
81-000.000-K-3-T5-T5-BB,K,0.0,-1734.3987322116116,12:00:10
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1734.3898575294293,12:00:10
87-000.000-K-11-O1-O1-BB,K,0.0,-1736.0802026475947,12:00:10
87-000.000-K-12-T1-T1-BB,K,0.0,-1736.080202647651,12:00:10
81-000.000-R-10-BB,R,0.0,0.9464598516107386,12:00:10
81-000.000-R-11-BB,R,0.0,0.9465164916043224,12:00:10
81-000.000-R-12-BB,R,0.0,0.9465568444517374,12:00:10
81-000.000-R-9-BB,R,0.0,0.9464867693667034,12:00:10
81-000.000-K-3-T5-T5-BB,K,0.0,-1732.6816439306626,12:00:20
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1732.5859833059158,12:00:20
87-000.000-K-11-O1-O1-BB,K,0.0,-1733.420818660575,12:00:20
87-000.000-K-12-T1-T1-BB,K,0.0,-1733.4208186606313,12:00:20
81-000.000-R-10-BB,R,0.0,2.6675265134034842,12:00:20
81-000.000-R-11-BB,R,0.0,2.667566343057148,12:00:20
81-000.000-R-12-BB,R,0.0,2.667612326541107,12:00:20
81-000.000-R-9-BB,R,0.0,2.667664381604549,12:00:20
81-000.000-K-3-T5-T5-BB,K,0.0,-1729.1370747930605,12:00:40
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1728.680163829251,12:00:40
87-000.000-K-11-O1-O1-BB,K,0.0,-1729.350766525174,12:00:40
87-000.000-K-12-T1-T1-BB,K,0.0,-1729.35076652523,12:00:40
81-000.000-R-10-BB,R,0.0,0.6833837244367933,12:00:40
81-000.000-R-11-BB,R,0.0,0.6835501210642364,12:00:40
81-000.000-R-12-BB,R,0.0,0.683735515663436,12:00:40
81-000.000-R-9-BB,R,0.0,0.6839156096529195,12:00:40
81-000.000-K-3-T5-T5-BB,K,0.0,-1731.4004455612921,12:00:50
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1731.0478617649067,12:00:50
87-000.000-K-11-O1-O1-BB,K,0.0,-1732.2185594026057,12:00:50
87-000.000-K-12-T1-T1-BB,K,0.0,-1732.218559402662,12:00:50
